時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
8927,0.7322,-0.6807,-0.0065,-0.0001,-0.06,0.56,-0.06,0,-0.07,0.11,0,0,0,0
8977,0.7322,-0.6807,-0.0064,-0.0001,-0.12,1,-0.06,0,-0.03,0.09,0,0,0,0
9026,0.7322,-0.6807,-0.0062,-0.0001,0,0.75,0,-0.02,-0.01,0.09,0,0,0,0
9076,0.7322,-0.6807,-0.0062,-0.0001,0.25,0.31,0.44,-0.07,0.07,0.09,0,0,0,0
9125,0.7323,-0.6806,-0.0062,-0.0001,0.94,-0.06,-0.06,0,0,0.06,0,0,0,0
9175,0.7327,-0.6802,-0.0216,0.001,1.37,1.06,-0.5,-0.05,0,0.06,0,0,0,0
9220,0.7328,-0.6801,-0.0214,0.0008,-0.56,0.56,-0.37,-0.13,-0.04,0.18,0,0,0,0
9269,0.7326,-0.6804,-0.0058,-0.0001,-1.06,-0.37,-0.69,-0.08,-0.11,0.09,0,0,0,0
9318,0.7325,-0.6804,-0.0061,-0.0001,0.06,-0.25,-1,-0.07,0.04,0.09,0,0,0,0
9368,0.7325,-0.6804,-0.0063,-0.0001,0.5,0.5,-0.5,-0.01,-0.01,0.08,0,0,0,0
9417,0.7328,-0.6801,-0.0216,0,1.63,0.94,-0.31,-0.04,-0.1,0.12,0,0,0,0
9469,0.7335,-0.0001,-0.0001,-0.0001,1.44,1.06,-0.37,-0.03,0.12,0.1,0,0,0,0
9521,0.7333,-0.6796,-0.0211,-0.0005,-1.63,0.06,-0.31,-0.03,-0.1,0.17,0,0,0,0
9571,0.733,-0.6799,-0.0212,-0.0006,-0.63,-0.37,-1.31,0,-0.05,0.12,0,0,0,0
9621,0.733,-0.6798,-0.006,-0.0001,-0.06,0.12,-1.37,0,0,0.09,0,0,0,0
9671,0.7331,-0.6797,-0.0219,-0.0012,0.81,0.31,0.12,0,0,0.08,0,0,0,0
9722,0.7334,-0.6794,-0.0216,-0.001,0.63,-0.12,1.56,-0.07,0.04,0.14,0,0,0,0
9772,0.7335,-0.6793,-0.0212,-0.0002,0.06,-0.69,1.25,-0.02,-0.08,0.14,0,0,0,0
9822,0.7337,-0.6791,-0.0214,0.0001,1.44,-1.12,-0.63,-0.03,-0.05,0.13,0,0,0,0
9873,0.7344,-0.6784,-0.022,0.0002,2.31,-1.12,-0.94,-0.04,0.02,0.14,0,0,0,0
