時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
8911,0.7295,-0.6794,0.0782,0.0062,-0.06,0.06,-0.81,0.02,-0.01,-0.01,0,0,1,0
8961,0.7295,-0.6795,0.0781,0.0058,0.12,0.81,-0.81,0,-0.1,0.1,0,0,1,0
9011,0.7295,-0.6795,0.0783,0.0055,0.06,1.06,-0.06,-0.04,-0.05,0.07,0,0,1,0
9060,0.7295,-0.6795,0.0784,0.0054,0.5,-0.06,0.25,-0.03,0.04,0.09,0,0,1,0
9110,0.7295,-0.6794,0.0784,0.0054,0.75,-0.12,-0.12,-0.02,0.01,0.12,0,0,1,0
9159,0.7299,-0.6791,0.0784,0.0053,1.56,0.63,-0.56,-0.04,0,0.12,0,0,1,0
9206,0.7301,-0.0001,-0.0001,-0.0001,0.81,1,-0.5,-0.09,-0.02,0.05,0,0,1,0
9252,0.73,-0.0001,-0.0001,-0.0001,-1.19,0,-0.06,-0.11,-0.02,0.04,0,0,1,0
9302,0.7297,-0.6792,0.0786,0.0048,-0.44,-0.37,-1,-0.02,-0.02,0.11,0,0,1,0
9352,0.7297,-0.6792,0.0783,0.0045,0.19,0.12,-0.94,-0.03,-0.02,0.16,0,0,1,0
9401,0.7299,-0.6791,0.0782,0.0043,1.31,0.81,-0.06,-0.03,-0.04,0.14,0,0,1,0
9452,0.7305,-0.6785,0.0784,0.0039,2.19,0.63,-0.75,-0.02,0.02,0.12,0,0,1,0
9503,0.7305,-0.0064,-0.0001,-0.0001,-1.19,0.75,-0.06,-0.06,0.01,0.14,0,0,1,0
9553,0.7301,-0.0001,-0.0001,-0.0001,-1.25,-0.25,-0.56,0.01,0.04,0.11,0,0,1,0
9604,0.73,-0.0071,-0.0001,-0.0001,-0.37,-0.25,-1.56,0.01,-0.01,-0.01,0,0,1,0
9654,0.73,-0.0001,-0.0001,-0.0001,0.5,0.19,-0.81,-0.02,-0.09,0.08,0,0,1,0
9704,0.7302,-0.0069,-0.0001,-0.0001,1.12,0.12,0.88,-0.04,-0.04,0.05,0,0,1,0
9754,0.7303,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,-0.01,0.07,0.06,0,0,1,0
9804,0.7303,-0.0001,-0.0001,-0.0001,0.44,-0.06,-0.06,0,0.05,0.11,0,0,1,0
9854,0.7308,-0.0001,-0.0001,-0.0001,1.94,-0.06,-0.06,0.01,0.02,0.16,0,0,1,0
9905,0.7314,-0.0057,-0.0001,-0.0001,1.44,-0.06,-0.06,-0.07,-0.07,0.12,0,0,1,0
9955,0.7318,-0.6772,0.0764,0.0044,1.25,-1.12,0.63,-0.04,-0.05,0.12,0,0,1,0
10005,0.7321,-0.6769,0.0766,0.0048,1.31,-0.56,1.06,-0.08,-0.02,0.14,0,0,1,0
10055,0.7323,-0.6766,0.0768,0.0049,0.63,-0.06,-0.06,-0.04,-0.03,0.1,0,0,1,0
10105,0.7324,-0.0001,-0.0001,-0.0001,0.37,-0.06,-0.06,-0.08,0.01,0.11,0,0,1,0
10156,0.7323,-0.0048,-0.0001,-0.0001,-0.56,-0.94,0.81,-0.09,-0.04,0.12,0,0,1,0
10206,0.7323,-0.0001,-0.0001,-0.0001,0.25,-0.69,1.12,-0.02,0,0.15,0,0,1,0
10256,0.7324,-0.0046,-0.0001,-0.0001,0.56,0.06,1.06,-0.01,0.06,0.09,0,0,1,0
10305,0.7324,-0.0046,-0.0001,-0.0001,0.44,0.12,0.56,-0.08,0.04,0.08,0,0,1,0
10355,0.7327,-0.6761,0.077,0.0064,1,-0.06,-0.06,-0.09,0.08,-0.01,0,0,1,0
10405,0.7323,-0.0001,-0.0001,-0.0001,-2.63,-1.5,-0.31,-0.05,0.04,0.15,0,0,1,0
10456,0.7319,-0.0054,-0.0001,-0.0001,-1.69,-2.13,-1.75,-0.07,0.13,0.05,0,0,1,0
10506,0.7304,-0.0001,-0.0001,-0.0001,-6.88,-3.38,-3.06,-0.08,-0.1,0.04,0,0,1,0
10556,0.7288,-0.6809,0.0714,0.0073,-4.94,-4.63,-0.06,-0.02,-0.13,0.2,0,0,1,0
