時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
8923,0.7349,-0.6768,-0.0446,-0.0016,0.12,0.25,-0.88,0.05,-0.28,0.11,0,0,0,0
8972,0.7349,-0.6768,-0.0446,-0.002,-0.25,1,-0.56,0.08,-0.24,0.09,0,0,0,0
9022,0.7349,-0.0001,-0.0001,-0.0001,-0.06,0.69,0.44,0.07,-0.18,0.08,0,0,0,0
9071,0.7349,-0.0001,-0.0001,-0.0001,0.44,0,0.44,0.05,-0.22,0.08,0,0,0,0
9121,0.7349,-0.0001,-0.0001,-0.0001,1,0,0.06,0.01,-0.18,0.07,0,0,0,0
9168,0.7353,-0.0001,-0.0001,-0.0001,1.25,0.88,-0.06,0.02,-0.21,0.04,0,0,0,0
9214,0.7355,-0.6761,-0.0438,-0.0027,-0.5,1,0,0.04,-0.01,-0.01,0,0,0,0
9264,0.7353,-0.6763,-0.0438,-0.0027,-1.06,-0.63,-0.37,0.04,-0.26,0.1,0,0,0,0
9314,0.7352,-0.6764,-0.0442,-0.0029,0.12,-0.31,-1.12,0.01,-0.17,0.07,0,0,0,0
9364,0.7352,-0.6764,-0.0443,-0.0031,0.5,0.5,-0.44,0.02,-0.21,0.05,0,0,0,0
9413,0.7355,-0.6761,-0.0441,-0.0032,1.5,1.19,-0.31,0.07,-0.25,0.12,0,0,0,0
9464,0.7361,-0.6755,-0.0437,-0.0035,1.37,1,-0.19,0.07,-0.01,-0.01,0,0,0,0
9515,0.7359,-0.6757,-0.0436,-0.0037,-1.75,0.12,-0.06,0.09,-0.01,-0.01,0,0,0,0
9565,0.7355,-0.6761,-0.0436,-0.0038,-0.69,-0.5,-1,0.1,-0.01,-0.01,0,0,0,0
9615,0.7355,-0.676,-0.0441,-0.0043,0,0,-0.06,0.08,-0.01,-0.01,0,0,0,0
9665,0.7356,-0.676,-0.0442,-0.0045,0.56,0.25,0,0.09,-0.01,-0.01,0,0,0,0
9716,0.7358,-0.6757,-0.0128,-0.0001,0.94,0.06,1.44,0.11,-0.01,-0.01,0,0,0,0
9765,0.7358,-0.0001,-0.0001,-0.0001,0,-0.06,-0.06,0.07,-0.01,-0.01,0,0,0,0
9816,0.736,-0.0001,-0.0001,-0.0001,1.19,-0.06,-0.06,0.09,-0.01,-0.01,0,0,0,0
9866,0.7366,-0.0001,-0.0001,-0.0001,2.38,-0.06,-0.06,0.07,-0.01,-0.01,0,0,0,0
