時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
8919,0.7505,-0.0001,-0.0001,-0.0001,0,0.31,-1,0.07,-0.29,0.22,0,0,0,0
8967,0.7505,-0.0001,-0.0001,-0.0001,-0.06,0.94,-0.75,0.07,-0.37,0.17,0,0,0,0
9016,0.7505,-0.6606,0.0064,-0.0145,-0.19,0.63,0.06,0.11,-0.27,0.07,0,0,0,0
9066,0.7505,-0.6606,0.0065,-0.0146,0.44,0.31,0.44,0.1,-0.01,-0.01,0,0,0,0
9116,0.7505,-0.6606,0.0065,-0.0146,0.81,-0.12,0.06,0.02,-0.01,-0.01,0,0,0,0
9164,0.7509,-0.6602,0.0066,-0.0147,1.5,0.94,-0.56,0.03,-0.27,0.16,0,0,0,0
9210,0.7512,-0.6599,0.0069,-0.015,-0.37,1,-0.25,0.03,-0.35,0.11,0,0,0,0
9260,0.751,-0.0001,-0.0001,-0.0001,-1.19,-0.37,-0.5,0.04,-0.26,0.09,0,0,0,0
9309,0.7508,-0.0001,-0.0001,-0.0001,-0.12,-0.63,-0.88,0.03,-0.24,0.13,0,0,0,0
9358,0.7508,-0.0001,-0.0001,-0.0001,0.31,0,-0.69,0.04,-0.23,0.21,0,0,0,0
9407,0.751,-0.0001,-0.0001,-0.0001,1.25,0.94,-0.06,0.07,-0.26,0.16,0,0,0,0
9458,0.7516,-0.0001,-0.0001,-0.0001,2.25,1.25,-0.44,0.08,-0.42,0.13,0,0,0,0
9509,0.7515,-0.0001,-0.0001,-0.0001,-1.69,0.19,0.12,0.11,-0.28,0.15,0,0,0,0
9560,0.7512,-0.0001,-0.0001,-0.0001,-1.12,-0.5,-0.63,0.09,-0.2,0.17,0,0,0,0
9610,0.7511,-0.0001,-0.0001,-0.0001,0,0.06,-1.37,0.07,-0.29,0.19,0,0,0,0
