時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
118732,0.0651,-0.0712,0.6121,-0.0001,-16.87,-19.06,-12.13,0.09,-4.64,0.78,3,0,0,3
118782,0.0522,-0.0156,-0.0001,-0.0001,-7.13,-0.06,-0.06,0.14,-4,0.06,3,0,0,3
118833,0.0383,-0.0001,-0.0001,-0.0001,-14.31,-0.06,-0.06,0.38,-3,0.04,3,0,0,3
118883,0.0325,-0.0001,-0.0001,-0.0001,-7.44,-0.06,-0.06,-0.11,-1.05,0.33,3,0,0,3
118933,0.0355,-0.1357,0.6891,-0.0001,-51.31,-11.19,14.5,-0.6,1.16,0.33,3,0,0,3
118984,0.0428,-0.0001,-0.0001,-0.0001,-22.69,0.25,30.94,-0.56,2.6,0.15,3,0,0,3
119034,0.0508,-0.119,0.7034,-0.699,17.94,8.38,31.06,-0.46,2.6,0,3,0,0,3
119085,0.058,-0.0131,-0.0001,-0.0001,34.5,-0.06,-0.06,-0.32,1.97,0,3,0,0,3
119135,0.0635,-0.0001,-0.0001,-0.0001,35.56,-0.06,-0.06,-0.07,0.85,-0.23,3,0,0,3
119184,0.0658,-0.0872,0.6783,-0.7266,28.62,7.75,11.5,-0.02,0.36,-0.35,3,0,0,3
119235,0.0666,-0.0001,-0.0001,-0.0001,26.31,2.69,-0.06,0.17,-0.01,-0.01,3,0,0,3
119285,0.0673,-0.0001,-0.0001,-0.0001,7.13,-0.06,-0.06,0.17,-1.09,-0.27,3,0,0,3
119335,0.0696,-0.0872,0.665,-0.0001,-2.38,-9.38,-2.06,-0.12,-0.79,0.05,3,0,0,3
119386,0.0715,-0.0122,-0.0001,-0.0001,-9.88,-7.38,-0.06,-0.22,-0.41,0.25,3,0,0,3
119435,0.0735,-0.0134,-0.0001,-0.0001,-11.19,-4.31,-0.06,-0.37,0.23,0.22,3,0,0,3
119485,0.0756,-0.0129,-0.0001,-0.0001,-5.56,-0.06,-0.06,-0.43,0.42,0.15,3,0,0,3
119535,0.0777,-0.0884,0.6744,-0.729,-4.25,-0.06,-0.06,-0.39,0.64,0.07,3,0,0,3
119585,0.0793,-0.0001,-0.0001,-0.0001,-1.31,2.63,5.19,-0.28,0.69,-0.02,3,0,0,3
119635,0.0795,-0.0001,-0.0001,-0.0001,2.19,2.75,0.5,-0.18,0.5,-0.03,3,0,0,3
119686,0.0784,-0.0001,-0.0001,-0.0001,1.75,3.31,-0.06,-0.03,0.11,-0.07,3,0,0,3
119736,0.0771,-0.0001,-0.0001,-0.0001,-0.94,1.69,-0.06,0.02,0.14,-0.23,3,0,0,3
119786,0.0762,-0.0001,-0.0001,-0.0001,1.44,-0.06,-0.06,0.01,-0.12,-0.19,3,0,0,3
119836,0.0765,-0.0001,-0.0001,-0.0001,0.5,-0.06,-0.06,0.04,-0.13,-0.03,3,0,0,3
119885,0.0774,-0.0001,-0.0001,-0.0001,-1.5,-1.06,2.25,0,0.17,-0.01,3,0,0,3
119937,0.0781,-0.0001,-0.0001,-0.0001,-1,-1.44,0.5,-0.1,0.07,-0.02,3,0,0,3
119986,0.0785,-0.0001,-0.0001,-0.0001,-3.69,-1.75,0.19,-0.09,0.08,0,3,0,0,3
120036,0.079,-0.0001,-0.0001,-0.0001,-3.69,-1.81,0.19,-0.16,0.17,0.02,3,0,0,3
120086,0.0792,-0.0001,-0.0001,-0.0001,-3,-0.81,0.56,-0.1,0.13,-0.01,3,0,0,3
120136,0.0795,-0.0001,-0.0001,-0.0001,-1.56,-0.69,0.94,-0.09,0.17,-0.01,3,0,0,3
120186,0.08,-0.0001,-0.0001,-0.0001,-2.5,-0.25,1.81,-0.06,0.1,0.02,3,0,0,3
120237,0.0805,-0.0001,-0.0001,-0.0001,-2.56,-0.75,1.12,-0.11,0.35,-0.01,3,0,0,3
120288,0.0803,-0.0001,-0.0001,-0.0001,0.25,0.31,-0.06,-0.15,0.14,-0.06,3,0,0,3
120338,0.0804,-0.0001,-0.0001,-0.0001,-0.75,0.31,1,-0.12,0.14,0.04,3,0,0,3
120387,0.0812,-0.0001,-0.0001,-0.0001,0.56,0.81,2.75,-0.14,0.34,0.03,3,0,0,3
120437,0.0815,-0.0001,-0.0001,-0.0001,2.13,1.88,0.75,-0.09,0.13,0,3,0,0,3
120486,0.0806,-0.0001,-0.0001,-0.0001,0.19,1.88,-0.06,-0.02,0,-0.01,3,0,0,3
120538,0.0798,-0.0001,-0.0001,-0.0001,-2.38,0.25,-0.06,-0.02,0.16,-0.01,3,0,0,3
120588,0.0791,-0.0001,-0.0001,-0.0001,-0.94,-0.44,-2.56,-0.05,-0.01,-0.04,3,0,0,3
120638,0.0789,-0.0001,-0.0001,-0.0001,-2.13,0.19,0.31,-0.05,0.08,0.01,3,0,0,3
120687,0.0792,-0.0815,0.6823,-0.0001,-0.81,0.69,1.19,-0.06,0.22,0,3,0,0,3
120738,0.0792,-0.0001,-0.0001,-0.0001,0.31,0.75,-0.06,-0.06,0.17,0.02,3,0,0,3
120788,0.0791,-0.0001,-0.0001,-0.0001,-0.56,0.25,-0.06,-0.05,0.07,0,3,0,0,3
120838,0.0787,-0.0001,-0.0001,-0.0001,-2.56,0.12,-0.06,-0.06,0.14,-0.01,3,0,0,3
120888,0.0782,-0.0822,0.6834,-0.0001,-0.63,0.63,-0.06,-0.02,0.11,-0.01,3,0,0,3
120938,0.078,-0.082,0.6834,-0.0001,-0.06,0.63,0.37,0,0.2,-0.01,3,0,0,3
120989,0.078,-0.0001,-0.0001,-0.0001,1.37,0.44,0.19,-0.03,0.15,-0.01,3,0,0,3
121039,0.0779,-0.0001,-0.0001,-0.0001,0.69,0.12,-0.06,-0.03,0.24,-0.01,3,0,0,3
121089,0.0775,-0.0001,-0.0001,-0.0001,0.63,-0.06,-0.06,-0.04,0.03,-0.01,3,0,0,3
121138,0.0774,-0.0833,0.6827,-0.7218,-1.56,-1.25,-0.25,-0.03,0.04,-0.01,3,0,0,3
121188,0.0775,-0.0839,0.683,-0.7214,-0.69,-1,-1.37,-0.07,0.21,-0.01,3,0,0,3
121238,0.077,-0.0848,0.6829,-0.7215,0.31,-0.06,-0.06,-0.05,0.14,-0.01,3,0,0,3
121288,0.0765,-0.0863,0.6827,-0.7216,-0.5,-2.38,-3.13,0,0.07,-0.01,3,0,0,3
121338,0.0765,-0.0885,0.6827,-0.7213,-1.69,-4.38,-3.69,-0.1,0.02,-0.01,3,0,0,3
121388,0.0768,-0.0916,0.6835,-0.7202,-4.13,-7.31,-4.75,-0.26,0.26,-0.04,3,0,0,3
