時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
-0.01,0.0,0.0,2592.0,-0.015,-0.0002,-0.12,-0.05,0.0,3.0,0.0,0.6921,-0.7216,-0.12,0.0
0.01,0.0,0.0,2613.0,-0.015,-0.0002,-0.19,-0.08,0.0,3.0,0.0,0.6921,-0.7216,0.12,0.19
0.0,0.0,0.0,2632.0,-0.015,-0.0002,-0.12,-0.1,0.0,3.0,0.0,0.6921,-0.7216,-0.19,0.06
0.0,0.0,0.0,2652.0,-0.015,-0.0002,-0.06,-0.11,0.0,3.0,0.0,0.6921,-0.7216,0.0,0.0
0.0,0.0,0.0,2672.0,-0.015,-0.0002,0.12,-0.08,0.02,3.0,0.0,0.6921,-0.7216,0.0,0.06
0.0,0.0,0.0,2692.0,-0.015,-0.0002,0.19,-0.1,0.02,3.0,0.0,0.6921,-0.7216,0.0,0.0
0.0,0.0,0.0,2712.0,-0.015,-0.0002,0.12,-0.19,0.03,3.0,0.0,0.6921,-0.7216,-0.19,0.0
0.0,0.0,0.0,2732.0,-0.015,-0.0002,-0.19,-0.07,-0.02,3.0,0.0,0.6921,-0.7216,0.19,0.0
-0.02,0.0,0.0,2752.0,-0.015,-0.0002,0.06,-0.09,0.02,3.0,0.0,0.6921,-0.7216,-0.19,0.06
-0.01,0.0,0.0,2771.0,-0.015,-0.0002,0.19,-0.09,0.0,3.0,0.0,0.6921,-0.7216,-0.06,-0.06
0.0,0.0,0.0,2792.0,-0.015,-0.0002,-0.06,-0.08,0.0,3.0,0.0,0.6921,-0.7216,-0.12,-0.12
-0.01,0.0,0.0,2811.0,-0.015,-0.0002,-0.06,-0.11,0.03,3.0,0.0,0.6921,-0.7216,-0.06,0.0
0.0,0.0,0.0,2832.0,-0.015,-0.0002,-0.12,-0.1,0.0,3.0,0.0,0.6921,-0.7216,0.06,0.06
0.0,0.0,0.0,2851.0,-0.015,-0.0002,-0.12,-0.08,0.03,3.0,0.0,0.6921,-0.7216,-0.12,-0.06
-0.02,0.0,0.0,2872.0,-0.015,-0.0002,0.12,-0.1,0.02,3.0,0.0,0.6921,-0.7216,0.0,0.0
-0.01,0.0,0.0,2891.0,-0.015,-0.0002,0.0,-0.09,0.0,3.0,0.0,0.6921,-0.7216,0.12,-0.06
0.0,0.0,0.0,2912.0,-0.015,-0.0002,-0.12,-0.08,0.03,3.0,0.0,0.6921,-0.7216,-0.12,0.0
0.0,0.0,0.0,2931.0,-0.015,-0.0002,0.06,-0.09,0.0,3.0,0.0,0.6921,-0.7216,0.0,0.0
0.01,0.0,0.0,2952.0,-0.015,-0.0002,0.06,-0.1,0.02,3.0,0.0,0.6921,-0.7216,0.0,0.0
