,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
8922.0,0.2834,0.6174,0.7338,-0.0081,-5.06,-3.38,-2.56,-0.03,-0.17,0.0,0.0,3.0,1.0,0.0,0.1945,0.3721,0.9072,-0.0286,1.5,-3.5,-0.69,-0.01,0.0,0.02,1.0,3.0,1.0,0.0,0.1337,0.9717,-0.1946,0.002,1.56,2.44,-9.19,-0.09,0.04,-0.01,0.0,3.0,1.0,0.0,0.2921,0.9557,0.0269,-0.0229,3.13,-0.06,-0.06,0.22,-0.01,-0.01,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8970.0,0.2855,0.616,0.7341,-0.0084,-1.19,-3.81,-3.5,0.04,-0.13,0.01,0.0,3.0,1.0,0.0,0.1953,-0.0001,-0.0001,-0.0001,3.19,-1.75,-2.81,-0.03,-0.01,0.07,1.0,3.0,1.0,0.0,0.1337,0.9722,-0.1923,0.0023,1.63,0.25,-3.0,-0.22,0.09,0.0,0.0,3.0,1.0,0.0,0.2888,0.9567,0.0285,-0.022,3.75,2.56,-9.56,0.02,0.31,0.18,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9020.0,0.2859,0.6155,0.7343,-0.009,-0.44,0.37,0.56,-0.08,-0.07,-0.01,0.0,3.0,1.0,0.0,0.1953,-0.0001,-0.0001,-0.0001,0.0,-0.19,0.06,-0.02,-0.01,0.02,1.0,3.0,1.0,0.0,0.1334,0.9724,-0.1912,0.0012,-0.31,-0.37,-2.5,-0.06,-0.08,-0.02,0.0,3.0,1.0,0.0,0.2874,0.957,0.0331,-0.0215,10.0,-0.06,-0.06,-0.29,0.16,0.2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9070.0,0.2863,0.6154,0.7344,-0.0093,0.37,-1.5,-1.19,0.0,-0.02,0.0,0.0,3.0,1.0,0.0,0.1953,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.02,0.0,0.03,1.0,3.0,1.0,0.0,0.1332,0.9725,-0.1909,0.0013,0.69,-2.0,-2.81,0.15,0.01,0.0,0.0,3.0,1.0,0.0,0.2863,0.9573,0.0347,-0.0203,-2.38,0.12,-0.06,-0.15,-0.18,0.13,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9120.0,0.2864,0.6155,0.7342,-0.0089,23.87,1.19,14.44,-0.56,-2.05,0.28,0.0,3.0,1.0,0.0,0.1954,-0.0001,-0.0001,-0.0001,1.31,-1.63,0.5,0.0,0.11,0.06,1.0,3.0,1.0,0.0,0.1334,0.973,-0.1885,0.0009,0.88,-0.37,-11.06,0.8,0.0,0.0,0.0,3.0,1.0,0.0,0.2861,0.9574,0.0335,-0.0201,-1.69,-3.31,1.5,0.16,-0.01,-0.01,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9170.0,0.2885,0.6148,0.7338,-0.0173,-31.25,-27.19,-23.75,0.57,-1.18,0.01,0.0,3.0,1.0,0.0,0.1952,-0.0001,-0.0001,-0.0001,26.62,-10.5,-20.5,-0.03,-0.04,0.03,1.0,3.0,1.0,0.0,0.1339,0.9741,-0.1824,0.0042,2.94,22.25,-3.75,-1.46,0.11,0.06,0.0,3.0,1.0,0.0,0.2901,0.9561,0.0358,-0.0239,-16.06,-9.38,-16.69,0.34,-0.18,0.04,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9220.0,0.2924,0.6123,0.7343,-0.0203,-12.44,1.12,1.0,-0.26,-0.68,0.0,0.0,3.0,1.0,0.0,0.1953,0.3666,0.9086,-0.0131,-1.81,-1.25,-0.06,-0.03,-0.03,0.01,1.0,3.0,1.0,0.0,0.1337,0.9753,-0.176,0.0024,-8.63,-3.56,-21.0,0.71,-0.61,-0.02,0.0,3.0,1.0,0.0,0.291,0.9557,0.0379,-0.0236,0.19,2.81,1.37,0.59,-0.01,-0.01,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9271.0,0.295,0.6108,0.7344,-0.0222,-2.0,-17.0,-13.06,0.05,-0.25,0.01,0.0,3.0,1.0,0.0,0.196,0.3664,0.9084,-0.015,13.31,-4.38,-6.25,0.0,-0.02,0.0,1.0,3.0,1.0,0.0,0.1332,0.9767,-0.1682,0.006,6.56,10.44,-17.5,-0.2,0.51,-0.01,0.0,3.0,1.0,0.0,0.295,0.9542,0.0422,-0.0258,-10.25,2.81,-13.19,-0.12,-0.74,-0.01,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9322.0,0.2996,0.6069,0.7357,-0.0277,-0.81,-10.75,-10.0,0.02,-0.14,0.01,0.0,3.0,1.0,0.0,0.1956,0.3627,0.9095,-0.0001,20.69,3.94,-21.31,0.1,-0.04,-0.21,1.0,3.0,1.0,0.0,0.1342,0.9783,-0.1575,0.0066,-0.19,5.81,-26.5,0.08,-0.02,0.06,0.0,3.0,1.0,0.0,0.2947,0.9542,0.0457,-0.0239,-1.94,7.38,-11.0,-0.26,0.5,0.03,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9372.0,0.3028,0.6033,0.7371,-0.032,6.88,-9.38,-5.06,0.01,-1.04,0.47,0.0,3.0,1.0,0.0,0.1893,-0.0001,-0.0001,-0.0001,19.75,1.63,-8.31,-0.37,0.05,0.02,1.0,3.0,1.0,0.0,0.1338,0.9799,-0.1475,0.0105,0.56,9.0,-18.19,-0.99,-0.04,-0.03,0.0,3.0,1.0,0.0,0.3024,0.9513,0.054,-0.0264,-19.31,3.5,-0.06,-0.14,-0.41,0.22,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
