,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
8911.0,0.985,-0.1368,0.1053,-0.0001,0.0,-0.06,-0.06,0.03,0.0,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0786,0.0742,-0.0001,0.0,0.0,0.12,0.03,-0.05,-0.04,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,0.06,0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9989,-0.0154,-0.0001,-0.0001,-0.19,0.25,0.06,0.04,0.0,-0.29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8961.0,0.985,-0.1368,0.1053,-0.0001,0.0,0.25,0.0,0.02,0.03,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0786,0.0741,-0.0002,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,0.19,0.0,0.12,-0.05,0.25,-0.01,0.0,3.0,0.0,0.0,0.9989,-0.0154,-0.0001,-0.0001,-0.06,0.06,0.12,-0.01,0.0,-0.24,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9010.0,0.985,-0.1368,0.1053,-0.0001,0.06,-0.06,0.12,0.06,0.03,-0.05,0.0,3.0,1.0,0.0,0.9941,-0.0786,0.0741,-0.0002,0.12,0.0,0.06,0.09,-0.02,0.06,0.0,3.0,1.0,0.0,0.9974,-0.0715,-0.0095,0.0,0.19,0.06,0.19,0.0,0.11,-0.3,0.0,3.0,0.0,0.0,0.9989,-0.0467,-0.0075,0.0,0.0,-0.12,0.0,0.02,0.0,-0.26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9054.0,0.985,-0.0118,-0.0001,-0.0001,-0.06,-0.06,-0.12,-0.02,0.04,-0.02,0.0,3.0,1.0,0.0,0.9941,-0.0786,0.0741,-0.0002,0.0,-0.12,0.06,0.06,0.03,-0.02,0.0,3.0,1.0,0.0,0.9974,-0.0715,-0.0095,0.0,0.25,-0.06,-0.06,0.04,0.0,-0.37,0.0,3.0,0.0,0.0,0.9989,-0.0467,-0.0075,0.0,-0.19,0.0,0.06,0.0,0.0,-0.27,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9102.0,0.985,-0.1368,0.1053,-0.0001,0.0,-0.06,-0.06,0.09,0.04,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0001,-0.0001,-0.0001,-0.19,0.12,-0.06,0.04,-0.02,0.01,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,1.12,0.19,0.12,-0.01,0.07,-0.01,0.0,3.0,0.0,0.0,0.9989,-0.0154,-0.0001,-0.0001,0.0,0.12,-0.06,-0.03,0.0,-0.26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9152.0,0.985,-0.1368,0.1053,-0.0001,0.06,0.12,0.0,0.02,0.02,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.05,-0.01,-0.07,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,-0.12,0.06,0.0,0.01,0.07,-0.35,0.0,3.0,0.0,0.0,0.9989,-0.0467,-0.0075,0.0,0.0,-0.06,-0.12,0.02,0.01,-0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9202.0,0.985,-0.1368,0.1053,-0.0001,0.0,-0.06,-0.06,0.06,0.01,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0001,-0.0001,-0.0001,0.0,0.19,0.06,0.04,-0.01,-0.02,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,-0.12,0.12,0.06,0.0,0.07,-0.34,0.0,3.0,0.0,0.0,0.9989,-0.0467,-0.0075,0.0,0.0,-0.19,0.0,0.01,0.0,-0.28,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9252.0,0.985,-0.1368,0.1053,-0.0001,-0.06,-0.25,0.12,0.01,0.0,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.02,-0.03,-0.05,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,-0.12,-0.06,0.12,-0.02,0.04,-0.01,0.0,3.0,0.0,0.0,0.9989,-0.0154,-0.0001,-0.0001,-0.12,0.0,0.0,0.0,0.02,-0.28,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9302.0,0.985,-0.1368,0.1053,-0.0001,-0.06,0.0,0.06,0.02,0.0,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.12,0.02,0.0,-0.06,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,0.06,0.12,0.19,-0.02,0.05,-0.36,0.0,3.0,0.0,0.0,0.9989,-0.0467,-0.0075,0.0,-0.06,-0.06,0.12,-0.01,0.02,-0.26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9353.0,0.985,-0.1368,0.1053,-0.0001,-0.06,0.06,0.0,0.04,0.01,-0.01,0.0,3.0,1.0,0.0,0.9941,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.0,0.0,0.0,-0.04,0.0,3.0,1.0,0.0,0.9974,-0.0712,-0.0095,0.0,-0.06,-0.12,0.0,0.0,0.08,-0.35,0.0,3.0,0.0,0.0,0.9989,-0.0467,-0.0075,0.0,0.0,0.06,-0.19,0.0,0.0,-0.26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
