,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
352487.0,0.6633,-0.0158,-0.0506,0.7465,0.19,-0.25,0.12,-0.01,0.06,-0.09,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.12,-0.06,-0.06,-0.02,0.0,0.04,1.0,3.0,0.0,2.0,0.8258,-0.0092,-0.0308,0.563,-0.19,0.0,0.25,0.0,0.0,-0.01,0.0,3.0,0.0,2.0,0.7857,-0.0001,-0.0001,-0.0001,0.19,-0.06,-0.06,0.02,0.07,0.13,3.0,3.0,0.0,2.0,0.5913,0.0176,-0.0001,-0.0001,0.06,0.06,0.31,-0.03,-0.01,-0.03,3.0,3.0,0.0,2.0
352538.0,0.6633,-0.0158,-0.0506,0.7465,-0.06,-0.06,0.56,0.0,-0.04,0.01,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.06,0.0,0.81,-0.02,-0.02,0.02,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0308,0.5631,0.0,0.0,0.5,-0.01,0.0,-0.01,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,0.06,-0.12,0.63,0.03,-0.07,-0.05,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,-0.06,-0.19,0.63,-0.01,0.06,-0.04,3.0,3.0,0.0,2.0
352587.0,0.6633,-0.0158,-0.0506,0.7465,0.0,0.12,0.37,0.01,-0.12,0.02,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.06,-0.06,-0.06,0.02,-0.01,-0.01,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0308,0.5632,-0.06,0.0,0.25,-0.01,-0.02,-0.03,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.02,-0.21,0.09,3.0,3.0,0.0,2.0,0.5911,0.0176,-0.0001,-0.0001,0.06,-0.06,0.25,-0.02,0.03,-0.03,3.0,3.0,0.0,2.0
352637.0,0.6633,-0.0158,-0.0506,0.7465,-0.19,0.06,-0.12,0.01,-0.09,0.02,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,-0.06,-0.06,-0.25,0.05,-0.01,-0.01,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0308,0.5632,-0.12,-0.06,-0.12,-0.01,0.0,0.0,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,-0.19,0.06,-0.06,0.0,-0.05,0.15,3.0,3.0,0.0,2.0,0.5911,0.0176,-0.0001,-0.0001,-0.06,0.06,-0.5,0.06,0.02,-0.05,3.0,3.0,0.0,2.0
352688.0,0.6633,-0.0158,-0.0506,0.7465,-0.12,-0.06,-0.56,-0.01,0.01,0.0,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.0,-0.06,-0.06,-0.01,-0.09,0.02,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0308,0.5631,0.12,0.31,-0.69,0.01,-0.03,-0.01,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,-0.12,0.25,-0.56,-0.01,0.02,0.16,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,0.0,-0.06,-0.44,-0.05,0.0,-0.04,3.0,3.0,0.0,2.0
352737.0,0.6633,-0.0158,-0.0506,0.7465,-0.06,-0.06,-0.44,-0.04,0.02,0.04,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.06,0.12,-0.06,-0.05,-0.07,0.01,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0308,0.5631,-0.06,0.0,-0.25,-0.02,0.0,-0.02,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,-0.12,0.19,-0.06,-0.03,0.0,0.12,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,0.0,0.12,-0.19,0.0,-0.01,-0.03,3.0,3.0,0.0,2.0
352785.0,0.6633,-0.0158,-0.0506,0.7465,0.0,-0.12,-0.12,0.01,-0.03,0.02,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.12,-0.12,-0.06,0.01,-0.01,-0.01,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0151,-0.0001,-0.06,0.12,-0.12,0.0,-0.01,-0.01,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.0,0.0,-0.01,-0.01,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,0.0,0.0,-0.06,0.04,0.0,-0.03,3.0,3.0,0.0,2.0
352834.0,0.6633,-0.0158,-0.0506,0.7465,-0.06,0.06,-0.31,0.01,-0.07,0.02,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.19,0.25,-0.25,0.04,-0.01,-0.01,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0151,-0.0001,0.06,0.25,-0.44,0.0,0.01,-0.02,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,-0.19,0.12,-0.06,0.01,-0.01,-0.01,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,-0.06,0.12,-0.06,0.02,0.01,-0.01,3.0,3.0,0.0,2.0
352884.0,0.6633,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.56,-0.01,0.0,0.02,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.06,0.06,-0.37,0.0,-0.06,0.02,1.0,3.0,0.0,2.0,0.8257,-0.0092,-0.0151,-0.0001,0.0,0.19,-0.44,-0.01,0.0,0.0,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,0.12,0.06,-0.06,-0.01,0.0,0.13,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,-0.06,-0.06,-0.44,0.0,0.0,0.0,3.0,3.0,0.0,2.0
352934.0,0.6633,-0.0158,-0.0506,0.7465,0.0,-0.12,-0.12,-0.01,0.05,0.02,2.0,3.0,1.0,2.0,0.7458,-0.0273,-0.049,0.6638,0.0,-0.06,0.0,-0.05,-0.04,0.04,1.0,3.0,0.0,2.0,0.8258,-0.0092,-0.0151,-0.0001,-0.12,0.12,-0.19,0.0,0.0,-0.02,0.0,3.0,0.0,2.0,0.7856,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.01,0.0,0.12,3.0,3.0,0.0,2.0,0.5912,0.0176,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.02,0.03,-0.03,3.0,3.0,0.0,2.0
