,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
291046.0,-0.0046,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.06,0.0,-0.05,-0.08,2.0,3.0,3.0,3.0,-0.5962,0.0254,0.0101,0.8024,-0.12,0.12,-0.06,-0.08,0.01,-0.07,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,-0.06,-0.06,-0.12,-0.08,-0.01,-0.09,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.12,-0.06,-0.06,0.0,0.0,0.0,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,-0.02,-0.19,3.0,3.0,3.0,3.0
291096.0,-0.0046,-0.0001,-0.0001,-0.0001,0.06,0.12,0.0,0.0,-0.05,-0.06,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,0.12,0.0,0.0,-0.09,0.0,-0.01,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,0.06,-0.12,0.06,-0.09,-0.02,-0.11,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.06,0.19,-0.06,-0.01,0.0,0.0,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,0.0,0.19,0.0,-0.01,-0.02,-0.22,3.0,3.0,3.0,3.0
291146.0,-0.0046,-0.0001,-0.0001,-0.0001,0.0,0.0,0.06,0.0,-0.06,-0.06,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,-0.06,-0.06,0.12,-0.08,-0.02,-0.04,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,-0.06,-0.06,0.06,-0.09,-0.03,-0.13,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.0,0.0,-0.06,-0.01,0.0,0.01,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,-0.06,0.0,0.0,-0.01,-0.02,-0.21,3.0,3.0,3.0,3.0
291196.0,-0.0046,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.06,-0.01,-0.04,-0.08,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,-0.12,0.06,-0.06,-0.08,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,0.06,0.0,-0.06,-0.09,-0.01,-0.12,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.06,-0.12,0.0,-0.01,-0.01,0.0,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,0.0,0.0,-0.06,-0.02,-0.04,-0.21,3.0,3.0,3.0,3.0
291247.0,-0.0046,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,-0.01,-0.06,-0.06,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,0.0,0.06,-0.06,-0.08,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,-0.12,0.0,0.0,-0.1,0.0,-0.1,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.0,-0.19,0.0,-0.01,0.0,0.02,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,0.06,0.12,0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0
291296.0,-0.0046,-0.0001,-0.0001,-0.0001,0.06,0.06,-0.06,-0.01,-0.06,-0.09,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,0.06,0.06,-0.06,-0.08,0.0,-0.04,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,0.0,-0.12,0.0,-0.09,-0.01,-0.11,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.06,0.0,0.06,-0.02,-0.01,-0.02,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,-0.06,0.0,0.0,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0
291346.0,-0.0046,-0.0001,-0.0001,-0.0001,-0.19,-0.06,-0.06,0.0,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.08,0.01,-0.06,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,-0.12,0.06,0.06,-0.09,-0.01,-0.1,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.12,0.0,-0.06,-0.01,0.0,-0.01,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,0.0,0.0,0.0,-0.01,-0.02,-0.2,3.0,3.0,3.0,3.0
291396.0,-0.0046,-0.0001,-0.0001,-0.0001,-0.12,0.0,0.0,0.0,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,-0.06,0.06,0.0,-0.09,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,-0.06,0.0,0.06,-0.09,-0.01,-0.11,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.06,-0.12,0.06,-0.01,0.0,0.0,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,-0.06,-0.06,0.12,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0
291446.0,-0.0046,-0.0001,-0.0001,-0.0001,-0.06,0.19,0.0,-0.01,-0.05,-0.06,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,0.0,0.0,0.06,-0.08,0.0,-0.05,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,0.12,0.12,0.06,-0.1,0.0,-0.11,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.0,0.31,0.0,-0.01,-0.01,-0.03,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,-0.06,0.0,0.0,-0.01,-0.02,-0.21,3.0,3.0,3.0,3.0
291497.0,-0.0046,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.06,0.0,-0.01,-0.01,2.0,3.0,3.0,3.0,-0.5962,0.0254,-0.0001,-0.0001,-0.06,0.06,-0.12,-0.07,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6214,0.0233,0.0091,0.7831,-0.12,0.19,0.06,-0.1,-0.01,-0.12,3.0,3.0,3.0,3.0,-0.6045,0.0115,0.0062,0.7965,0.06,0.06,-0.06,-0.01,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.7753,0.0077,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.0,-0.19,3.0,3.0,3.0,3.0
