,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
351586.0,-0.0075,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.06,-0.02,0.09,-0.06,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.0,-0.01,-0.07,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.12,0.0,0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.06,0.0,0.0,0.0,0.09,-0.02,3.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,-0.25,-0.06,0.06,-0.08,-0.03,-0.21,3.0,3.0,3.0,3.0
351636.0,-0.0075,-0.0001,-0.0001,-0.0001,0.06,0.12,0.06,-0.04,0.1,-0.04,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.0,0.0,0.0,0.0,0.0,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.0,0.06,0.12,0.02,0.08,-0.01,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.0,-0.06,-0.06,-0.1,0.0,-0.01,3.0,3.0,3.0,3.0
351686.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,0.06,0.0,-0.03,0.11,-0.07,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,-0.06,0.06,-0.06,-0.02,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.0,0.06,-0.06,0.0,0.0,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.02,0.11,0.0,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,-0.12,-0.06,0.0,-0.07,-0.03,-0.2,3.0,3.0,3.0,3.0
351736.0,-0.0075,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.06,-0.04,0.09,-0.07,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.06,0.0,0.01,-0.06,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.0,0.06,-0.06,0.0,0.0,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.06,0.12,0.0,0.01,0.11,-0.01,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.06,0.12,-0.12,-0.09,0.0,-0.01,3.0,3.0,3.0,3.0
351787.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,-0.03,0.1,-0.08,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.01,-0.04,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.06,0.0,0.0,0.0,0.0,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.06,0.01,0.09,0.0,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,-0.06,0.0,-0.06,-0.09,0.0,-0.01,3.0,3.0,3.0,3.0
351837.0,-0.0075,-0.0001,-0.0001,-0.0001,0.12,0.0,0.0,-0.04,0.1,-0.07,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.19,0.25,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,0.1,0.0,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.0,-0.06,-0.06,-0.09,-0.03,-0.21,3.0,3.0,3.0,3.0
351888.0,-0.0075,-0.0001,-0.0001,-0.0001,0.12,0.12,-0.12,-0.03,0.1,-0.08,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.0,0.06,0.0,-0.02,0.02,-0.09,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,-0.0001,0.12,-0.06,-0.06,-0.01,-0.01,-0.12,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.06,-0.06,0.12,0.02,0.08,0.0,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.06,0.0,-0.06,-0.09,-0.01,-0.17,3.0,3.0,3.0,3.0
351937.0,-0.0075,-0.0001,-0.0001,-0.0001,0.12,0.19,0.06,-0.05,0.12,-0.02,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.0,0.12,-0.06,-0.01,0.0,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.0,0.12,0.0,0.01,0.08,-0.02,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.06,-0.06,-0.06,-0.1,0.0,-0.01,3.0,3.0,3.0,3.0
351988.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,0.06,0.0,-0.06,0.09,-0.02,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,-0.02,0.0,-0.06,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,-0.0001,0.0,0.12,0.0,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.12,0.0,0.08,0.0,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.12,-0.06,-0.06,-0.08,-0.03,-0.2,3.0,3.0,3.0,3.0
352037.0,-0.0075,-0.0001,-0.0001,-0.0001,-0.06,-0.12,0.0,-0.03,0.13,-0.04,3.0,3.0,3.0,3.0,-0.004,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.06,-0.01,0.0,-0.05,3.0,3.0,3.0,3.0,-0.6099,0.021,0.007,0.7922,0.06,0.06,0.12,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,0.12,-0.06,0.06,0.01,0.08,0.01,2.0,3.0,3.0,3.0,-0.7648,0.0115,0.0281,0.6435,0.06,-0.06,-0.06,-0.1,-0.01,-0.19,3.0,3.0,3.0,3.0
