,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
219074.0,-0.6121,0.0281,-0.0117,0.7902,0.0,0.19,-0.06,0.0,-0.08,0.02,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.01,-0.07,-0.16,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.06,0.12,-0.06,0.0,0.02,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.05,-0.06,-0.1,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.0,-0.12,0.0,-0.04,-0.06,-0.22,3.0,3.0,3.0,3.0
219124.0,-0.6121,0.0281,-0.0117,0.7902,0.0,0.0,-0.06,0.0,-0.08,0.0,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.06,0.0,0.0,-0.03,-0.03,-0.18,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.06,0.19,0.0,-0.06,0.03,0.02,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.12,-0.04,-0.06,-0.09,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.06,0.0,-0.06,-0.02,-0.04,-0.21,3.0,3.0,3.0,3.0
219174.0,-0.6121,0.0281,-0.0117,0.7902,-0.19,0.0,0.0,0.0,-0.08,0.02,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.06,0.0,0.06,-0.02,-0.06,-0.18,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,-0.06,0.01,0.01,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.12,-0.19,0.06,-0.04,-0.05,-0.11,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.0,-0.06,0.06,-0.04,-0.06,-0.21,3.0,3.0,3.0,3.0
219225.0,-0.6121,0.0281,-0.0117,0.7902,0.0,0.06,-0.06,0.0,-0.07,0.02,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.06,0.0,0.12,0.0,-0.03,-0.18,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.06,0.0,-0.07,0.04,0.01,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,-0.04,-0.07,-0.12,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.0,0.06,0.06,-0.05,-0.04,-0.23,3.0,3.0,3.0,3.0
219275.0,-0.6121,0.0281,-0.0117,0.7902,-0.06,-0.06,-0.12,0.0,-0.09,0.04,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.0,0.0,-0.04,-0.17,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.12,0.0,-0.06,-0.06,0.01,0.02,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.12,-0.06,0.0,-0.04,-0.07,-0.1,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.06,0.12,0.06,-0.03,-0.04,-0.21,3.0,3.0,3.0,3.0
219325.0,-0.6121,0.0281,-0.0117,0.7902,0.12,0.0,0.06,0.0,-0.07,0.03,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,-0.12,0.06,0.0,-0.01,-0.03,-0.17,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.06,-0.06,0.03,0.02,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,-0.06,0.19,0.06,-0.04,-0.08,-0.11,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,-0.06,-0.06,0.0,-0.04,-0.05,-0.24,3.0,3.0,3.0,3.0
219375.0,-0.6121,0.0281,-0.0117,0.7902,-0.06,-0.06,0.0,0.0,-0.1,0.04,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.06,0.19,-0.06,-0.02,-0.03,-0.15,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,-0.06,-0.06,-0.06,0.0,0.04,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.0,-0.12,0.0,-0.03,-0.06,-0.1,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.0,0.06,-0.12,-0.03,-0.05,-0.22,3.0,3.0,3.0,3.0
219425.0,-0.6121,0.0281,-0.0117,0.7902,0.0,0.0,-0.06,0.0,-0.06,0.01,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,-0.02,-0.06,-0.16,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.12,-0.08,0.02,0.01,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,-0.06,0.12,-0.12,-0.04,-0.06,-0.1,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.06,0.19,0.06,-0.05,-0.07,-0.19,3.0,3.0,3.0,3.0
219475.0,-0.6121,0.0281,-0.0117,0.7902,0.0,0.0,0.06,0.0,-0.07,0.03,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.06,-0.01,-0.04,-0.19,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.12,-0.06,0.01,0.02,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.04,-0.06,-0.09,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.0,0.06,-0.06,-0.05,-0.05,-0.21,3.0,3.0,3.0,3.0
219526.0,-0.6121,0.0281,-0.0117,0.7902,0.19,-0.12,0.0,0.0,-0.08,0.03,3.0,3.0,0.0,3.0,-0.0061,-0.0001,-0.0001,-0.0001,-0.06,-0.06,0.06,-0.01,-0.03,-0.19,3.0,3.0,3.0,3.0,-0.0058,-0.0001,-0.0001,-0.0001,0.0,0.12,-0.06,-0.08,0.03,0.02,3.0,3.0,0.0,3.0,-0.0075,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.03,-0.07,-0.11,3.0,3.0,0.0,3.0,-0.767,0.0027,0.0028,0.6416,0.06,-0.06,-0.06,-0.04,-0.04,-0.22,3.0,3.0,3.0,3.0
