,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
32353.0,0.9993,-0.0001,-0.0001,-0.0001,-0.12,-0.06,0.06,0.0,0.02,-0.28,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,0.06,0.0,0.0,0.0,0.04,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.25,0.25,0.12,0.01,0.01,-0.33,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,0.0,0.0,-0.12,0.0,0.0,-0.26,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.12,-0.06,0.06,0.0,-0.01,-0.01,0.0,3.0,0.0,0.0
32403.0,0.9993,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.0,-0.03,0.03,-0.28,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.19,0.0,0.0,0.01,0.02,-0.36,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,0.0,0.19,-0.19,0.0,0.0,-0.27,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.0,-0.06,-0.06,-0.01,-0.01,-0.32,0.0,3.0,0.0,0.0
32453.0,0.9993,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.0,-0.01,0.03,-0.28,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,-0.06,0.19,0.0,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,-0.01,0.03,-0.35,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,0.12,-0.06,-0.12,0.0,0.0,-0.28,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.0,-0.06,-0.06,-0.02,0.01,-0.01,0.0,3.0,0.0,0.0
32503.0,0.9993,-0.0001,-0.0001,-0.0001,-0.12,0.19,0.0,0.0,0.02,-0.3,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,-0.12,0.12,-0.06,-0.02,0.0,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.06,0.12,0.0,0.0,0.02,-0.33,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,0.06,0.12,-0.06,0.0,0.0,-0.28,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.06,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,0.0,0.0
32555.0,0.9993,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.06,-0.01,0.01,-0.28,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,-0.06,-0.12,0.0,0.0,0.03,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.06,-0.19,-0.06,0.01,0.02,-0.35,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,0.06,0.06,0.06,0.0,0.0,-0.28,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.06,0.12,-0.06,-0.01,0.0,-0.01,0.0,3.0,0.0,0.0
32605.0,0.9993,-0.032,-0.0185,0.0,0.12,0.0,0.0,0.0,0.02,-0.28,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,-0.02,0.01,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,-0.12,-0.12,0.0,0.0,0.03,-0.35,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,-0.06,0.06,0.12,0.0,0.01,-0.26,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.06,-0.06,-0.06,0.0,-0.01,-0.01,0.0,3.0,0.0,0.0
32654.0,0.9993,-0.0001,-0.0001,-0.0001,-0.06,-0.12,0.0,0.0,0.01,-0.28,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.0,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.12,0.06,0.12,0.0,0.01,-0.35,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,-0.06,0.12,0.12,0.01,0.0,-0.26,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.021,0.0,0.06,0.06,-0.06,0.0,0.01,-0.01,0.0,3.0,0.0,0.0
32705.0,0.9993,-0.032,-0.0185,0.0,-0.06,-0.12,-0.06,0.0,0.01,-0.3,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.0,0.0,0.0,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.06,0.12,-0.06,0.0,0.02,-0.36,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,-0.12,0.06,0.06,-0.01,0.0,-0.29,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.0001,-0.0001,0.06,0.06,0.06,-0.02,0.0,-0.01,0.0,3.0,0.0,0.0
32755.0,0.9993,-0.032,-0.0185,0.0,0.06,-0.19,0.06,0.0,0.02,-0.29,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.0,0.02,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.19,-0.12,0.0,-0.01,0.0,-0.36,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,0.0,0.0,0.06,0.0,0.0,-0.29,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.0001,-0.0001,0.06,0.25,0.0,-0.01,-0.01,-0.32,0.0,3.0,0.0,0.0
32804.0,0.9993,-0.032,-0.0185,0.0,0.0,0.06,-0.06,-0.01,0.01,-0.3,0.0,3.0,0.0,0.0,0.9988,-0.0001,-0.0001,-0.0001,0.06,0.0,-0.06,0.0,0.01,-0.01,0.0,3.0,0.0,0.0,0.9997,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.06,0.0,0.04,-0.35,0.0,3.0,0.0,0.0,0.9999,-0.0134,-0.0001,-0.0001,-0.06,-0.06,0.0,0.0,0.01,-0.29,0.0,3.0,0.0,0.0,0.9997,-0.014,-0.0001,-0.0001,0.0,0.0,0.06,0.0,0.01,-0.01,0.0,3.0,0.0,0.0
