,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
227714.0,-0.4909,0.0059,0.0143,-0.0001,-0.69,-2.31,-5.44,0.0,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,0.0079,0.7236,-0.06,-0.19,0.06,0.0,0.02,0.0,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,-0.12,0.0,0.0,0.08,0.0,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.03,0.06,-0.01,2.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,0.12,-0.06,-0.06,0.0,0.05,-0.14,0.0,3.0,3.0,3.0
227764.0,-0.4913,0.0052,0.0137,0.8708,-1.19,1.69,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.06,-0.19,0.12,0.03,0.0,-0.01,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,-0.06,0.0,0.12,0.09,0.0,-0.12,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.05,0.06,-0.01,2.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,-0.12,0.06,-0.06,-0.01,0.04,-0.16,0.0,3.0,3.0,3.0
227813.0,-0.4916,0.0057,0.014,0.8707,1.94,-0.06,-0.06,0.01,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.0,-0.06,-0.12,0.03,0.02,-0.02,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,-0.06,0.06,0.0,0.08,0.0,-0.12,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.0,0.05,0.07,-0.01,2.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,0.0,-0.06,0.0,-0.01,0.05,-0.16,0.0,3.0,3.0,3.0
227864.0,-0.4912,0.0057,0.0132,0.8709,5.81,6.81,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,-0.12,0.06,0.06,0.03,0.01,0.0,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,0.0,-0.12,0.0,0.1,0.0,-0.15,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.06,0.06,-0.01,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,-0.06,0.06,0.06,0.0,0.05,-0.16,0.0,3.0,3.0,3.0
227913.0,-0.4922,0.0063,0.0123,0.8704,-6.19,-0.06,-0.06,0.0,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.0,0.25,-0.06,0.0,0.0,-0.02,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,-0.12,0.0,0.0,0.08,0.01,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.06,0.06,-0.01,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,-0.12,0.06,0.06,0.0,0.04,-0.17,0.0,3.0,3.0,3.0
227963.0,-0.4927,0.0059,0.012,0.8701,-0.94,1.44,4.56,0.02,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.12,0.0,0.19,0.02,0.0,-0.02,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,-0.06,0.0,0.06,0.1,0.0,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.06,-0.12,-0.06,0.04,0.05,-0.22,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,0.0,-0.12,0.06,-0.03,0.06,-0.17,0.0,3.0,3.0,3.0
228014.0,-0.4923,0.0051,0.0117,0.8704,1.94,-0.06,-0.06,0.02,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.0,0.06,-0.06,0.03,0.0,-0.01,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,0.0,-0.06,0.0,0.08,0.01,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.05,0.06,-0.01,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,0.06,-0.06,0.06,-0.01,0.04,-0.17,0.0,3.0,3.0,3.0
228064.0,-0.4927,0.0048,0.0113,0.8701,1.94,1.94,2.31,0.05,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.0,0.06,0.0,0.03,0.0,-0.01,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,-0.12,0.0,0.0,0.09,0.01,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.0,0.07,0.07,-0.21,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,0.0,0.19,0.0,-0.01,0.05,-0.16,0.0,3.0,3.0,3.0
228115.0,-0.4928,0.0049,0.0105,0.8701,-3.31,-0.19,5.69,0.04,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.12,0.25,-0.19,0.0,0.01,0.01,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,0.0,0.0,0.12,0.1,0.01,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,0.0,0.12,0.06,0.06,0.05,-0.2,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,-0.06,0.06,-0.12,-0.01,0.05,-0.17,0.0,3.0,3.0,3.0
228164.0,-0.4924,0.005,0.0096,0.8703,-1.31,1.69,0.94,0.06,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.69,0.015,-0.0001,-0.0001,0.0,0.0,-0.06,0.03,0.03,-0.02,0.0,3.0,0.0,3.0,-0.5922,0.0177,-0.0247,0.8052,0.06,0.06,0.0,0.08,0.0,-0.13,3.0,3.0,0.0,3.0,-0.0134,-0.0001,-0.0001,-0.0001,-0.12,-0.25,-0.12,0.05,0.08,-0.22,3.0,3.0,3.0,3.0,-0.4225,0.0136,0.0023,0.9062,-0.12,0.0,0.06,-0.01,0.06,-0.16,0.0,3.0,3.0,3.0
