,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
444406.0,0.5292,-0.0291,-0.0091,-0.8479,-0.81,1.31,3.06,-0.15,-0.01,-0.05,3.0,3.0,3.0,2.0,0.6852,-0.0204,-0.0024,-0.7281,-0.06,0.06,-0.06,-0.04,-0.01,0.02,0.0,3.0,3.0,3.0,0.6022,-0.0001,-0.0001,-0.0001,-0.12,-0.19,0.0,0.0,0.02,-0.09,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.06,0.0,0.06,-0.01,0.07,-0.01,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.0,-0.19,-0.06,0.0,0.0,-0.01,0.0,3.0,3.0,3.0
444457.0,0.5299,-0.0297,-0.0092,-0.8475,-2.94,-2.94,3.19,-0.15,0.0,-0.08,3.0,3.0,3.0,2.0,0.6852,-0.0204,-0.0024,-0.7281,0.0,-0.06,-0.06,-0.05,-0.02,0.02,0.0,3.0,3.0,3.0,0.6022,-0.0001,-0.0001,-0.0001,0.0,0.12,0.06,0.0,0.01,-0.06,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.01,0.06,-0.01,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.06,0.19,0.19,-0.02,0.0,-0.01,0.0,3.0,3.0,3.0
444507.0,0.5292,-0.0297,-0.0092,-0.848,-3.19,1.56,-0.69,-0.15,-0.01,-0.03,3.0,3.0,3.0,2.0,0.6852,-0.0204,-0.0024,-0.7281,0.0,-0.06,-0.06,-0.05,0.01,0.0,0.0,3.0,3.0,3.0,0.6022,-0.0001,-0.0001,-0.0001,0.06,0.06,0.0,0.01,0.03,-0.08,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.0,0.0,0.06,0.0,0.06,-0.11,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.0,0.12,0.0,-0.02,0.0,-0.01,0.0,3.0,3.0,3.0
444556.0,0.5285,-0.0288,-0.0094,-0.8484,2.06,-1.31,-0.56,-0.14,-0.05,-0.03,3.0,3.0,3.0,2.0,0.6852,-0.0204,-0.0024,-0.7281,0.0,-0.06,-0.06,-0.05,0.0,0.03,0.0,3.0,3.0,3.0,0.6022,-0.0001,-0.0001,-0.0001,0.0,-0.19,0.06,0.0,0.02,-0.07,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.06,0.0,0.0,-0.02,0.06,-0.01,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.0,-0.06,0.0,-0.02,0.0,-0.01,0.0,3.0,3.0,3.0
444607.0,0.5283,-0.03,-0.0095,-0.8484,-4.56,-3.31,-2.06,-0.16,-0.02,-0.06,3.0,3.0,3.0,2.0,0.6852,-0.0204,-0.0024,-0.7281,-0.06,0.19,0.0,-0.04,0.0,0.0,0.0,3.0,3.0,3.0,0.6022,-0.0001,-0.0001,-0.0001,0.06,-0.06,0.12,0.01,0.03,-0.07,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.06,-0.01,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,-0.06,0.0,0.19,-0.02,0.0,-0.01,0.0,3.0,3.0,3.0
444657.0,0.5285,-0.0291,-0.0099,-0.8483,3.44,1.31,0.06,-0.14,-0.04,-0.06,3.0,3.0,3.0,2.0,0.6852,-0.0204,-0.0024,-0.7281,-0.06,0.0,0.0,-0.04,-0.01,0.02,0.0,3.0,3.0,3.0,0.6022,-0.0001,-0.0001,-0.0001,0.0,0.19,0.0,0.0,0.02,-0.04,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.01,0.06,-0.09,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,-0.25,-0.06,0.0,-0.01,0.02,-0.01,0.0,3.0,3.0,3.0
444708.0,0.5284,-0.0286,-0.0093,-0.8484,-2.19,3.06,0.56,-0.15,-0.02,-0.06,3.0,3.0,3.0,2.0,0.6852,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.06,0.01,0.0,0.0,3.0,3.0,3.0,0.6022,-0.0209,0.0132,-0.798,0.0,0.0,0.06,0.0,0.0,-0.05,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.01,0.06,-0.07,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.0,-0.06,-0.06,0.0,0.0,-0.01,0.0,3.0,3.0,3.0
444760.0,0.5283,-0.0283,-0.0099,-0.8485,4.81,4.69,-2.94,-0.14,-0.06,-0.02,3.0,3.0,3.0,2.0,0.6852,-0.0001,-0.0001,-0.0001,-0.12,0.0,-0.06,-0.05,0.0,0.0,0.0,3.0,3.0,3.0,0.6022,-0.0209,0.0132,-0.798,0.12,0.06,-0.06,0.0,0.0,-0.08,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.07,-0.06,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.06,0.0,0.12,-0.01,0.0,-0.01,0.0,3.0,3.0,3.0
444810.0,0.5283,-0.0284,-0.0088,-0.8486,-0.94,0.06,-0.69,-0.13,-0.02,-0.05,3.0,3.0,3.0,2.0,0.6852,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.04,-0.01,0.01,0.0,3.0,3.0,3.0,0.6022,-0.0209,0.0132,-0.798,-0.06,0.25,0.06,0.0,0.05,-0.06,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.02,0.08,-0.07,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,-0.06,0.0,0.0,0.0,0.0,-0.01,0.0,3.0,3.0,3.0
444860.0,0.5293,-0.0282,-0.0084,-0.8479,1.31,3.19,4.06,-0.1,-0.03,-0.05,3.0,3.0,3.0,2.0,0.6852,-0.0001,-0.0001,-0.0001,-0.06,0.12,-0.06,-0.04,-0.01,0.0,0.0,3.0,3.0,3.0,0.6022,-0.0209,0.0132,-0.798,0.0,0.06,0.12,0.0,0.02,-0.08,0.0,3.0,3.0,3.0,0.6944,-0.0001,-0.0001,-0.0001,0.0,0.06,0.0,-0.02,0.06,-0.11,3.0,3.0,3.0,3.0,0.3983,-0.0089,-0.0236,-0.9169,0.12,0.25,0.0,-0.02,0.03,-0.01,0.0,3.0,3.0,3.0
