,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
321137.0,0.7339,-0.0151,-0.0001,-0.0001,-0.12,0.0,0.44,0.04,-0.08,-0.28,0.0,3.0,3.0,3.0,0.3834,-0.0134,-0.0001,-0.0001,-0.12,0.06,0.31,0.06,0.0,-0.23,3.0,3.0,3.0,3.0,0.3672,-0.011,-0.0052,-0.0001,0.19,0.25,0.12,0.02,0.0,-0.17,0.0,3.0,3.0,3.0,0.4797,0.0023,-0.0101,-0.8774,0.0,0.0,0.19,0.0,-0.07,-0.16,2.0,3.0,3.0,3.0,0.7855,0.0015,-0.032,-0.618,-0.06,0.25,0.06,-0.01,0.05,-0.01,0.0,3.0,3.0,3.0
321187.0,0.7339,-0.0151,-0.0001,-0.0001,0.12,0.06,0.0,-0.01,0.0,-0.27,0.0,3.0,3.0,3.0,0.3834,-0.0134,-0.0001,-0.0001,0.0,0.12,-0.06,-0.02,0.03,-0.18,3.0,3.0,3.0,3.0,0.3672,-0.011,-0.0052,-0.0001,0.0,-0.25,-0.31,-0.03,0.01,-0.17,0.0,3.0,3.0,3.0,0.4797,0.0023,-0.0101,-0.8774,0.12,0.0,-0.37,-0.11,0.01,-0.22,2.0,3.0,3.0,3.0,0.7855,0.0015,-0.032,-0.618,-0.19,0.25,-0.44,0.01,0.0,-0.01,0.0,3.0,3.0,3.0
321238.0,0.7339,-0.0151,-0.0001,-0.0001,-0.06,-0.12,-0.25,-0.04,0.01,-0.23,0.0,3.0,3.0,3.0,0.3834,-0.0134,-0.0001,-0.0001,-0.12,0.19,-0.06,-0.06,-0.01,-0.22,3.0,3.0,3.0,3.0,0.3672,-0.011,-0.0052,-0.0001,0.12,0.0,-0.19,0.02,0.0,-0.2,0.0,3.0,3.0,3.0,0.4797,0.0023,-0.0101,-0.8774,0.12,-0.06,-0.06,-0.04,0.0,-0.18,2.0,3.0,3.0,3.0,0.7855,0.0015,-0.032,-0.618,-0.06,0.25,0.0,-0.22,-0.03,-0.15,0.0,3.0,3.0,3.0
321288.0,0.7339,-0.0151,-0.0001,-0.0001,0.06,0.0,-0.19,-0.07,0.0,-0.24,0.0,3.0,3.0,3.0,0.3834,-0.0134,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.07,0.0,-0.2,3.0,3.0,3.0,3.0,0.3672,-0.011,-0.0052,-0.0001,-0.19,-0.12,-0.31,-0.16,0.05,-0.15,0.0,3.0,3.0,3.0,0.4797,0.0023,-0.0101,-0.8774,0.0,0.06,-0.12,-0.25,-0.02,-0.22,2.0,3.0,3.0,3.0,0.7855,0.0013,-0.0322,-0.618,0.0,-0.06,-0.06,0.11,0.13,-0.01,0.0,3.0,3.0,3.0
321339.0,0.7339,-0.0151,-0.0163,-0.6788,0.12,-0.12,-0.5,-0.01,-0.1,-0.28,0.0,3.0,3.0,3.0,0.3834,-0.0134,-0.0001,-0.0001,-0.31,0.25,-0.06,0.0,-0.01,-0.19,3.0,3.0,3.0,3.0,0.3672,-0.011,-0.0052,-0.0001,0.19,0.5,-0.63,0.06,-0.03,-0.17,0.0,3.0,3.0,3.0,0.4797,0.0023,-0.0101,-0.8774,0.12,-0.06,-0.37,0.15,-0.11,-0.09,2.0,3.0,3.0,3.0,0.7855,0.0015,-0.0319,-0.618,0.0,1.31,-0.37,0.15,-0.01,-0.01,0.0,3.0,3.0,3.0
321389.0,0.7338,-0.0151,-0.0001,-0.0001,0.06,-0.19,-0.69,0.08,0.09,-0.22,0.0,3.0,3.0,3.0,0.3832,-0.0134,-0.0001,-0.0001,0.06,0.25,-0.06,0.11,-0.02,-0.26,3.0,3.0,3.0,3.0,0.3669,-0.011,-0.0052,-0.0001,0.5,0.31,-0.69,0.07,0.1,-0.16,0.0,3.0,3.0,3.0,0.4795,0.0023,-0.0101,-0.8774,0.31,0.19,-0.63,0.02,0.16,-0.17,2.0,3.0,3.0,3.0,0.7854,0.0018,-0.0316,-0.6182,0.0,1.0,-0.56,0.19,0.13,-0.01,0.0,3.0,3.0,3.0
321439.0,0.7337,-0.0151,-0.0163,-0.6791,-0.12,-0.12,-0.25,-0.09,0.17,-0.23,0.0,3.0,3.0,3.0,0.3832,-0.0134,-0.0001,-0.0001,-0.06,0.19,0.0,-0.15,-0.08,-0.2,3.0,3.0,3.0,3.0,0.3669,-0.011,-0.0052,-0.0001,0.06,0.19,0.12,0.04,-0.09,-0.13,0.0,3.0,3.0,3.0,0.4795,0.0023,-0.0101,-0.8774,0.0,-0.12,0.06,-0.02,0.13,-0.22,2.0,3.0,3.0,3.0,0.7854,0.0021,-0.0312,-0.6182,-0.12,2.38,0.5,-0.41,-0.01,-0.26,0.0,3.0,3.0,3.0
321489.0,0.7337,-0.0151,-0.0163,-0.6791,-0.06,0.0,0.63,-0.05,-0.01,-0.31,0.0,3.0,3.0,3.0,0.3832,-0.0134,-0.0001,-0.0001,-0.06,-0.06,0.63,-0.03,-0.01,-0.23,3.0,3.0,3.0,3.0,0.3671,-0.011,-0.0052,-0.0001,0.19,-0.25,0.5,-0.05,0.0,-0.17,0.0,3.0,3.0,3.0,0.4796,0.0023,-0.0101,-0.8774,0.0,0.0,0.56,-0.11,-0.06,-0.16,2.0,3.0,3.0,3.0,0.7858,0.0027,-0.0305,-0.6177,-0.31,2.0,1.44,-0.25,0.04,-0.01,0.0,3.0,3.0,3.0
321540.0,0.7337,-0.0151,-0.0163,-0.6791,-0.12,-0.06,-0.06,-0.01,-0.22,-0.24,0.0,3.0,3.0,3.0,0.3832,-0.0134,-0.0001,-0.0001,-0.25,0.06,-0.06,0.0,0.02,-0.22,3.0,3.0,3.0,3.0,0.3671,-0.011,-0.0052,-0.0001,0.12,-0.06,-0.44,-0.15,0.01,-0.19,0.0,3.0,3.0,3.0,0.4796,0.0024,-0.0099,-0.8774,0.12,0.06,-0.56,-0.24,-0.2,-0.2,2.0,3.0,3.0,3.0,0.7858,0.0034,-0.0298,-0.6178,-0.44,0.56,-0.06,-0.26,-0.04,-0.13,0.0,3.0,3.0,3.0
321590.0,0.7335,-0.0152,-0.0161,-0.6793,0.0,0.0,-0.94,-0.1,-0.09,-0.26,0.0,3.0,3.0,3.0,0.3829,-0.0134,-0.0001,-0.0001,-0.19,-0.06,-1.06,-0.14,-0.06,-0.23,3.0,3.0,3.0,3.0,0.3668,-0.0109,-0.0051,-0.0001,0.06,-0.12,-0.88,-0.15,-0.08,-0.17,0.0,3.0,3.0,3.0,0.4794,0.0026,-0.0096,-0.8776,0.0,0.25,-0.88,-0.27,-0.08,-0.15,2.0,3.0,3.0,3.0,0.7856,0.0033,-0.0143,-0.0001,-0.19,-1.06,-0.88,-0.21,0.03,-0.01,0.0,3.0,3.0,3.0
321639.0,0.7332,-0.0152,-0.016,-0.6797,0.0,0.06,-1.69,-0.12,0.06,-0.2,0.0,3.0,3.0,3.0,0.3825,-0.0132,0.0013,-0.9239,-0.31,-0.06,-1.5,-0.19,-0.05,-0.28,3.0,3.0,3.0,3.0,0.3663,-0.0108,-0.0051,-0.0001,-0.5,-0.12,-1.5,-0.01,-0.11,-0.15,0.0,3.0,3.0,3.0,0.4789,0.003,-0.0093,-0.8778,0.12,-0.06,-0.06,-0.19,0.02,-0.21,2.0,3.0,3.0,3.0,0.7852,0.0035,-0.0298,-0.6185,-0.06,-3.75,-1.63,-0.86,-0.01,-0.01,0.0,3.0,3.0,3.0
321687.0,0.7328,-0.0151,-0.0001,-0.0001,-1.25,-0.06,-1.94,-0.45,0.02,-0.01,0.0,3.0,3.0,3.0,0.3819,-0.0129,0.0013,-0.9241,-0.31,-0.75,-1.88,-0.15,0.19,-0.04,3.0,3.0,3.0,3.0,0.3657,-0.0109,-0.005,-0.0001,-2.13,-2.19,-1.94,-0.04,-0.43,0.1,0.0,3.0,3.0,3.0,0.4783,0.003,-0.0092,-0.8781,-0.75,-0.69,-2.06,-0.26,-0.31,-0.59,2.0,3.0,3.0,3.0,0.7847,0.0023,-0.0313,-0.6191,0.25,-0.06,-0.06,1.59,0.25,0.19,0.0,3.0,3.0,3.0
