,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
749913.0,-0.0074,-0.0001,-0.0001,-0.0001,0.0,0.0,0.06,0.0,0.07,-0.23,3.0,3.0,3.0,3.0,-0.7704,0.0223,-0.0081,0.637,0.25,0.06,0.12,0.01,0.08,-0.21,3.0,3.0,3.0,3.0,-0.7742,0.0226,-0.0001,-0.0001,0.19,0.06,0.12,0.0,0.09,-0.2,3.0,3.0,3.0,3.0,-0.7742,0.0015,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.02,0.13,-0.17,3.0,3.0,3.0,3.0,-0.0048,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.08,0.08,-0.01,3.0,3.0,3.0,3.0
749962.0,-0.0074,-0.0001,-0.0001,-0.0001,-0.31,0.19,0.63,-0.06,0.13,-0.27,3.0,3.0,3.0,3.0,-0.7706,0.0223,-0.0081,0.637,-0.06,0.12,0.94,-0.08,0.04,-0.2,3.0,3.0,3.0,3.0,-0.7742,0.0226,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.03,0.05,-0.16,3.0,3.0,3.0,3.0,-0.7744,0.0015,-0.0001,-0.0001,-0.37,0.0,1.0,-0.04,0.05,-0.24,3.0,3.0,3.0,3.0,-0.0049,-0.0001,-0.0001,-0.0001,-0.06,0.0,1.12,0.02,0.0,-0.01,3.0,3.0,3.0,3.0
750013.0,-0.0077,-0.0001,-0.0001,-0.0001,-0.19,0.06,1.37,0.03,-0.05,-0.24,3.0,3.0,3.0,3.0,-0.7709,0.0223,-0.0081,0.6365,0.06,0.0,1.37,0.09,-0.02,-0.22,3.0,3.0,3.0,3.0,-0.7746,0.0226,-0.0001,-0.0001,0.06,-0.06,-0.06,0.05,-0.01,-0.2,3.0,3.0,3.0,3.0,-0.7747,0.0015,-0.0001,-0.0001,-0.37,-0.25,1.31,0.06,-0.08,-0.24,3.0,3.0,3.0,3.0,-0.0053,-0.0001,-0.0001,-0.0001,0.12,0.0,1.44,0.09,-0.01,-0.01,3.0,3.0,3.0,3.0
750063.0,-0.7581,0.025,0.0065,-0.0001,-0.12,0.06,1.69,0.09,0.0,-0.25,3.0,3.0,3.0,3.0,-0.7713,0.0223,-0.0081,0.636,0.25,0.19,1.75,0.11,0.0,-0.2,3.0,3.0,3.0,3.0,-0.775,0.0226,-0.0001,-0.0001,0.12,0.12,1.75,0.1,0.07,-0.17,3.0,3.0,3.0,3.0,-0.7751,0.0015,-0.0001,-0.0001,-0.31,-0.06,1.56,0.13,-0.05,-0.2,3.0,3.0,3.0,3.0,-0.0057,-0.0001,-0.0001,-0.0001,0.19,0.75,1.63,0.22,0.03,-0.01,3.0,3.0,3.0,3.0
750113.0,-0.7586,0.0251,0.0065,-0.0001,-0.06,-0.06,1.63,0.26,-0.05,-0.28,3.0,3.0,3.0,3.0,-0.7717,0.0225,-0.0078,0.6355,-0.06,0.37,1.63,0.31,0.02,-0.2,3.0,3.0,3.0,3.0,-0.7755,0.0226,-0.0001,-0.0001,0.25,0.12,1.81,0.24,0.06,-0.18,3.0,3.0,3.0,3.0,-0.7755,0.0016,-0.0001,-0.0001,-0.06,-0.19,1.63,0.31,-0.1,-0.16,3.0,3.0,3.0,3.0,-0.0062,-0.0001,-0.0001,-0.0001,0.19,1.44,1.5,0.49,-0.01,-0.01,3.0,3.0,3.0,3.0
750163.0,-0.759,0.0257,0.007,-0.0001,-0.31,0.06,1.69,0.41,-0.01,-0.31,3.0,3.0,3.0,3.0,-0.7722,0.0231,-0.007,0.6349,0.5,0.06,1.63,0.42,-0.08,-0.22,3.0,3.0,3.0,3.0,-0.7759,0.0231,-0.0001,-0.0001,0.5,-0.12,1.69,0.48,-0.06,-0.09,3.0,3.0,3.0,3.0,-0.7759,0.0024,-0.0001,-0.0001,-0.19,-0.37,1.56,0.51,-0.11,-0.26,3.0,3.0,3.0,3.0,-0.0065,-0.0001,-0.0001,-0.0001,0.44,3.5,1.56,1.07,-0.01,-0.01,3.0,3.0,3.0,3.0
750214.0,-0.7595,0.0268,-0.0001,-0.0001,-0.12,0.0,2.06,0.41,-0.07,-0.02,3.0,3.0,3.0,3.0,-0.7726,0.0241,-0.0056,0.6344,0.37,0.31,1.81,0.42,0.23,-0.32,3.0,3.0,3.0,3.0,-0.7764,0.0238,-0.0001,-0.0001,1.0,0.81,1.94,0.36,0.13,-0.11,3.0,3.0,3.0,3.0,-0.7764,0.0036,-0.0001,-0.0001,0.31,0.31,1.63,0.49,-0.05,-0.46,3.0,3.0,3.0,3.0,-0.007,-0.0001,-0.0001,-0.0001,0.25,-0.06,-0.06,1.16,0.34,-0.01,3.0,3.0,3.0,3.0
750264.0,-0.7599,0.0282,-0.0001,-0.0001,1.0,-0.06,-0.06,1.04,-0.2,-0.85,3.0,3.0,3.0,3.0,-0.7728,0.0251,-0.0036,0.6341,-0.75,-0.25,0.5,0.97,0.21,0.01,3.0,3.0,3.0,3.0,-0.7767,0.024,-0.0001,-0.0001,0.94,1.19,0.81,1.01,-0.02,-0.28,3.0,3.0,3.0,3.0,-0.7766,0.0052,0.0008,0.6301,1.0,0.75,-0.25,0.8,-0.17,0.02,3.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,-0.19,10.44,6.69,0.48,-0.37,-0.32,3.0,3.0,3.0,3.0
750314.0,-0.7599,0.0278,-0.0001,-0.0001,2.31,-0.06,-0.06,1.62,-0.33,-0.7,3.0,3.0,3.0,3.0,-0.7727,0.0253,-0.0041,0.6343,-0.88,-0.19,-1.63,1.65,-0.56,-0.7,3.0,3.0,3.0,3.0,-0.7767,0.0234,-0.0001,-0.0001,0.88,0.75,-1.0,1.33,-0.29,-0.32,3.0,3.0,3.0,3.0,-0.7764,0.0048,0.0011,0.6302,-0.5,-0.63,-2.25,1.25,-0.67,-0.04,3.0,3.0,3.0,3.0,-0.0076,-0.0001,-0.0001,-0.0001,-0.12,0.0,-0.06,0.36,0.62,-0.61,3.0,3.0,3.0,3.0
750364.0,-0.7593,0.028,-0.0001,-0.0001,-1.44,-0.31,-3.88,1.59,-1.28,-0.04,3.0,3.0,3.0,3.0,-0.7717,0.0258,-0.0041,0.6354,-2.81,-0.69,-6.56,1.8,0.12,-0.34,3.0,3.0,3.0,3.0,-0.7758,0.0239,-0.0001,-0.0001,-1.5,0.25,-5.5,0.25,0.73,-0.59,3.0,3.0,3.0,3.0,-0.7751,0.0052,0.0007,0.6318,0.0,-0.37,-9.5,0.59,-1.22,0.19,3.0,3.0,3.0,3.0,-0.0057,-0.0001,-0.0001,-0.0001,-2.75,-0.31,-11.0,1.44,-0.1,0.06,3.0,3.0,3.0,3.0
750414.0,-0.0068,-0.0001,-0.0001,-0.0001,-0.25,-0.5,-11.81,1.41,-1.54,-2.14,3.0,3.0,3.0,3.0,-0.7687,0.0266,-0.0048,0.6391,-7.25,0.31,-14.13,1.96,0.03,-2.09,3.0,3.0,3.0,3.0,-0.0073,-0.0001,-0.0001,-0.0001,0.69,0.37,-13.25,0.69,-1.26,-2.24,3.0,3.0,3.0,3.0,-0.0062,-0.0001,-0.0001,-0.0001,-2.38,0.88,-15.0,1.33,-2.05,-1.18,3.0,3.0,3.0,3.0,-0.7676,0.0087,-0.0001,-0.0001,1.0,1.5,-0.06,1.33,0.43,-2.17,3.0,3.0,3.0,3.0
750465.0,-0.7521,0.0287,-0.0001,-0.0001,-1.25,-0.12,-20.5,2.78,-2.21,0.47,3.0,3.0,3.0,3.0,-0.7637,0.0266,-0.0047,0.645,1.31,-0.37,-21.5,3.02,1.16,-1.3,3.0,3.0,3.0,3.0,-0.7678,0.0236,0.0005,-0.0001,7.25,-0.44,-23.0,0.79,2.74,2.37,3.0,3.0,3.0,3.0,-0.7665,0.0059,0.0007,0.6422,7.06,-3.69,-26.06,-0.54,2.21,7.27,3.0,3.0,3.0,3.0,-0.012,-0.0001,-0.0001,-0.0001,4.0,-0.06,-0.06,1.16,0.05,0.9,3.0,3.0,3.0,3.0
750515.0,-0.7449,0.0295,-0.0001,-0.0001,-8.69,3.5,-27.87,0.91,-1.59,8.39,3.0,3.0,3.0,3.0,-0.758,0.0272,-0.0042,0.6517,7.5,5.94,-28.56,1.74,2.79,-0.61,3.0,3.0,3.0,3.0,-0.7604,0.0248,0.0013,-0.0001,0.37,3.0,-31.94,0.38,0.31,-3.58,3.0,3.0,3.0,3.0,-0.7589,0.0082,0.0008,-0.0001,14.06,6.25,-33.44,-0.17,0.35,3.99,3.0,3.0,3.0,3.0,-0.0042,-0.0001,-0.0001,-0.0001,-4.31,-0.06,-0.06,2.63,0.48,-0.08,3.0,3.0,3.0,3.0
750565.0,-0.7347,0.0297,-0.0001,-0.0001,1.44,1.94,-41.13,0.11,-0.05,0.42,3.0,3.0,3.0,3.0,-0.7485,0.0271,-0.0043,0.6625,-2.13,3.56,-41.63,0.72,-1.03,-0.04,3.0,3.0,3.0,3.0,-0.7501,0.0245,0.0006,0.6609,-2.56,-0.31,-43.38,1.41,-1.42,0.46,3.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,-3.31,0.56,-43.0,1.62,-3.68,-5.51,3.0,3.0,3.0,3.0,-0.7428,0.0092,-0.0001,-0.0001,-2.81,4.0,-42.88,3.38,-1.98,-2.29,3.0,3.0,3.0,3.0
750615.0,-0.7211,0.0304,-0.0001,-0.0001,-0.25,-6.5,-50.0,3.94,-3.66,-0.44,3.0,3.0,3.0,3.0,-0.7332,0.0275,-0.0049,0.6794,6.75,2.88,-50.44,0.96,-6.13,-0.3,3.0,3.0,3.0,3.0,-0.7366,0.0251,0.0004,0.6758,4.31,5.0,-51.38,-0.44,0.0,-6.34,3.0,3.0,3.0,3.0,-0.7344,0.0071,0.001,0.6786,19.56,1.75,-51.38,1.26,3.94,3.64,3.0,3.0,3.0,3.0,-0.7289,0.0093,-0.0001,-0.0001,-1.37,-4.38,-0.06,1.49,-4.5,-0.74,3.0,3.0,3.0,3.0
750665.0,-0.7056,0.0299,-0.0001,-0.0001,11.44,-15.94,-52.38,3.39,1.17,-23.07,3.0,3.0,3.0,3.0,-0.7211,0.0261,-0.0024,0.6923,-10.0,-0.44,-53.38,10.48,3.19,0.54,3.0,3.0,3.0,3.0,-0.7217,0.0245,0.0012,0.6918,6.44,7.69,-53.44,-3.04,2.17,-10.61,3.0,3.0,3.0,3.0,-0.7191,0.0059,0.0028,0.6949,-27.12,6.5,-54.44,-4.25,-2.78,7.08,3.0,3.0,3.0,3.0,-0.7134,0.0094,-0.0001,-0.0001,0.75,-0.06,-0.06,-3.58,1.8,4.78,3.0,3.0,3.0,3.0
750715.0,-0.6894,0.0299,-0.0001,-0.0001,16.12,2.63,-55.56,-0.56,0.46,-0.09,3.0,3.0,3.0,3.0,-0.705,0.0256,-0.0034,0.7088,-7.13,-2.63,-57.0,2.93,-4.97,-1.35,3.0,3.0,3.0,3.0,-0.7055,0.0231,0.0011,0.7083,-15.19,-13.5,-56.56,7.27,-8.79,-1.8,3.0,3.0,3.0,3.0,-0.0148,-0.0001,-0.0001,-0.0001,-15.44,-12.56,-57.44,3.59,-0.87,-7.55,3.0,3.0,3.0,3.0,-0.6976,0.0093,-0.0001,-0.0001,1.69,-0.06,-0.06,-4.02,0.57,6.69,3.0,3.0,3.0,3.0
750766.0,-0.6722,0.0311,0.0077,0.7396,-19.69,-3.19,-52.88,1.32,2.28,-11.93,3.0,3.0,3.0,3.0,-0.6882,0.0258,-0.0034,0.725,6.69,2.38,-53.25,1.2,-7.81,9.99,3.0,3.0,3.0,3.0,-0.6887,0.0248,0.0016,0.7246,0.0,9.5,-52.06,-5.3,1.4,0.31,3.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,13.0,10.88,-52.31,-5.0,8.04,23.91,3.0,3.0,3.0,3.0,-0.6813,0.01,-0.0001,-0.0001,-1.56,-2.25,-50.94,0.1,1.06,-5.03,3.0,3.0,3.0,3.0
750816.0,-0.0153,-0.0001,-0.0001,-0.0001,-0.25,10.31,-51.75,-4.0,0.26,13.88,3.0,3.0,3.0,3.0,-0.6721,0.0254,-0.0035,0.74,1.12,-10.69,-51.56,4.19,6.69,-2.38,3.0,3.0,3.0,3.0,-0.6729,0.0246,0.0019,0.7394,-10.19,2.0,-52.0,-3.19,2.84,1.97,3.0,3.0,3.0,3.0,-0.0131,-0.0001,-0.0001,-0.0001,-10.81,-12.94,-51.69,-1.92,-0.94,-6.95,3.0,3.0,3.0,3.0,-0.665,0.0145,0.0174,-0.0001,-2.06,-19.62,-54.06,0.43,-2.56,0.34,3.0,3.0,3.0,3.0
750866.0,-0.0148,-0.0001,-0.0001,-0.0001,-10.88,7.69,-49.19,1.77,-2.3,-0.11,3.0,3.0,3.0,3.0,-0.0155,-0.0001,-0.0001,-0.0001,22.25,-2.0,-46.81,2.99,-0.42,11.99,3.0,3.0,3.0,3.0,-0.6569,0.0256,0.0019,0.7535,-8.81,-3.75,-47.13,-7.09,-9.0,1.84,3.0,3.0,3.0,3.0,-0.0129,-0.0001,-0.0001,-0.0001,2.38,-10.94,-47.56,-3.4,-5.37,1.55,3.0,3.0,3.0,3.0,-0.6489,0.0212,-0.0001,-0.0001,5.63,-10.56,-41.25,10.24,6.6,-11.76,3.0,3.0,3.0,3.0
750916.0,-0.6255,0.0311,0.0074,-0.0001,-10.94,7.31,-42.0,-8.06,3.12,16.78,3.0,3.0,3.0,3.0,-0.6417,0.0245,-0.0029,0.7666,5.88,4.06,-44.0,10.09,12.41,-7.68,3.0,3.0,3.0,3.0,-0.6421,0.024,0.0017,0.7663,17.25,-1.31,-44.69,-3.27,6.4,-1.33,3.0,3.0,3.0,3.0,-0.0142,-0.0001,-0.0001,-0.0001,-5.13,-11.0,-46.5,1.5,-0.93,-6.75,3.0,3.0,3.0,3.0,-0.6349,0.0183,0.0219,0.772,2.06,5.0,-40.31,-0.31,2.04,-2.8,3.0,3.0,3.0,3.0
750966.0,-0.6115,0.0315,0.0058,-0.0001,5.31,-7.13,-39.5,-0.97,-4.51,3.85,3.0,3.0,3.0,3.0,-0.6271,0.0245,-0.0032,0.7786,7.63,-2.25,-39.63,-3.33,-4.56,2.51,3.0,3.0,3.0,3.0,-0.6278,0.0242,0.0032,-0.0001,9.75,6.56,-39.88,-4.11,-2.19,-4.96,3.0,3.0,3.0,3.0,-0.0154,-0.0001,-0.0001,-0.0001,16.5,4.06,-41.75,-5.25,4.96,8.65,3.0,3.0,3.0,3.0,-0.6208,0.0182,0.0226,0.7834,1.69,-6.63,-44.06,-4.49,3.94,0.39,3.0,3.0,3.0,3.0
751016.0,-0.0053,-0.0001,-0.0001,-0.0001,0.69,-0.06,-0.06,0.27,-3.7,-1.45,3.0,3.0,3.0,3.0,-0.6128,0.0236,-0.0001,-0.0001,5.69,-4.88,-39.13,3.05,0.63,6.04,3.0,3.0,3.0,3.0,-0.0051,-0.0001,-0.0001,-0.0001,-5.31,-0.06,-0.06,9.95,-0.74,-5.82,3.0,3.0,3.0,3.0,-0.6115,0.0118,0.0005,-0.0001,27.31,14.5,-37.38,-0.82,4.4,7.33,3.0,3.0,3.0,3.0,-0.015,-0.0001,-0.0001,-0.0001,-2.25,-6.13,-39.44,-4.16,-3.45,-8.47,3.0,3.0,3.0,3.0
751067.0,-0.587,0.0324,0.0049,-0.0001,-7.63,-0.06,-0.06,-0.33,-2.81,-3.86,3.0,3.0,3.0,3.0,-0.0067,-0.0001,-0.0001,-0.0001,18.75,9.19,-35.75,-2.47,-16.66,3.29,3.0,3.0,3.0,3.0,-0.0073,-0.0001,-0.0001,-0.0001,6.06,-0.06,-0.06,-5.68,-1.88,-10.66,3.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,39.44,5.88,-37.63,3.85,2.3,-7.28,3.0,3.0,3.0,3.0,-0.5967,0.0206,-0.0001,-0.0001,1.37,-3.31,-39.13,-4.55,-0.96,-7.3,3.0,3.0,3.0,3.0
751117.0,-0.0135,-0.0001,-0.0001,-0.0001,1.0,-0.06,-0.06,-4.34,-2.86,9.05,3.0,3.0,3.0,3.0,-0.5872,0.0236,-0.0001,-0.0001,-16.44,7.75,-34.44,-2.92,-2.79,-3.51,3.0,3.0,3.0,3.0,-0.588,0.0236,0.0046,-0.0001,17.81,8.06,-31.37,-1.85,0.05,-14.36,3.0,3.0,3.0,3.0,-0.5875,0.0106,0.002,-0.0001,16.75,-2.44,-31.06,-1.77,-3.88,-1.62,3.0,3.0,3.0,3.0,-0.5869,0.0207,-0.0001,-0.0001,-2.75,5.81,-25.0,-2.32,-3.89,7.11,3.0,3.0,3.0,3.0
751167.0,-0.5649,0.0327,0.006,-0.0001,-25.94,18.44,-32.88,-5.45,-2.68,28.67,3.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,0.88,-1.56,-32.69,-0.92,5.62,-3.44,3.0,3.0,3.0,3.0,-0.0135,-0.0001,-0.0001,-0.0001,-14.44,-0.06,-0.06,1.28,2.39,-4.54,3.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,-2.63,0.19,-32.69,3.14,-4.91,-1.08,3.0,3.0,3.0,3.0,-0.0133,-0.0001,-0.0001,-0.0001,-4.06,-1.69,-31.87,0.06,-6.94,-2.62,3.0,3.0,3.0,3.0
751217.0,-0.0067,-0.0001,-0.0001,-0.0001,-14.63,-0.06,-0.06,1.68,0.07,-10.44,3.0,3.0,3.0,3.0,-0.5644,0.0245,-0.0001,-0.0001,-4.56,-0.06,-0.06,-8.81,-0.95,-2.24,3.0,3.0,3.0,3.0,-0.5638,0.0242,0.0038,-0.0001,-14.38,3.06,-31.37,-3.22,9.66,6.89,3.0,3.0,3.0,3.0,-0.565,0.0103,0.0004,-0.0001,8.88,-11.25,-30.19,0.14,5.51,-1.28,3.0,3.0,3.0,3.0,-0.5643,0.0217,-0.0001,-0.0001,-2.56,0.12,-26.5,-3.67,-2.78,-5.61,3.0,3.0,3.0,3.0
751267.0,-0.5429,0.0312,0.0068,-0.0001,5.69,-0.06,-0.06,0.03,-9.99,17.93,3.0,3.0,3.0,3.0,-0.0068,-0.0001,-0.0001,-0.0001,-8.19,9.31,-28.44,-0.81,4.3,-6.51,3.0,3.0,3.0,3.0,-0.0053,-0.0001,-0.0001,-0.0001,7.88,7.25,-27.25,-3.61,2.73,4.03,3.0,3.0,3.0,3.0,-0.5547,0.0115,-0.0001,-0.0001,3.5,-6.0,-28.62,5.79,2.92,-14.54,3.0,3.0,3.0,3.0,-0.5554,0.0222,-0.0001,-0.0001,-2.56,1.06,-30.87,2.16,-2.28,-2.17,3.0,3.0,3.0,3.0
751318.0,-0.533,0.0317,0.0045,0.8455,-12.69,-0.06,-0.06,0.12,-10.17,9.25,3.0,3.0,3.0,3.0,-0.0126,-0.0001,-0.0001,-0.0001,-9.19,7.75,-27.62,-1.6,6.88,0.43,3.0,3.0,3.0,3.0,-0.5421,0.0241,0.0032,-0.0001,-9.69,-8.94,-27.06,2.08,-8.54,0.48,3.0,3.0,3.0,3.0,-0.0137,-0.0001,-0.0001,-0.0001,62.31,14.13,-25.37,-2.34,13.42,20.43,3.0,3.0,3.0,3.0,-0.5469,0.0208,-0.0001,-0.0001,-3.88,2.38,-23.06,-3.49,0.26,-3.0,3.0,3.0,3.0,3.0
751368.0,-0.5245,0.0316,0.0048,0.8508,-20.0,6.19,-20.44,-0.49,-0.74,15.39,3.0,3.0,3.0,3.0,-0.5352,0.0236,-0.0001,-0.0001,0.19,16.37,-21.31,-0.72,16.9,0.42,3.0,3.0,3.0,3.0,-0.5332,0.0228,0.001,0.8457,4.69,6.0,-24.37,10.45,-11.13,-9.62,3.0,3.0,3.0,3.0,-0.0054,-0.0001,-0.0001,-0.0001,-13.31,-4.63,-23.5,-1.21,-2.59,-15.02,3.0,3.0,3.0,3.0,-0.5409,0.0199,0.0226,0.8406,0.81,1.69,-19.94,-2.83,-4.74,-12.07,3.0,3.0,3.0,3.0
751418.0,-0.5164,0.0303,0.0053,-0.0001,0.31,-0.06,-0.06,-2.64,-2.01,14.48,3.0,3.0,3.0,3.0,-0.5273,0.022,-0.0001,-0.0001,14.81,15.81,-18.56,3.62,1.58,6.89,3.0,3.0,3.0,3.0,-0.525,0.0217,0.0023,0.8508,-12.0,-4.81,-15.94,-1.03,-4.43,-1.56,3.0,3.0,3.0,3.0,-0.5264,0.0101,-0.0001,-0.0001,15.31,1.94,-15.38,-0.78,1.24,-0.8,3.0,3.0,3.0,3.0,-0.5349,0.0187,0.0226,0.8444,1.44,-1.0,-8.63,1.49,-0.77,-3.93,3.0,3.0,3.0,3.0
751468.0,-0.5109,0.0309,0.0048,-0.0001,7.5,-14.69,-12.19,-0.2,1.06,-8.9,3.0,3.0,3.0,3.0,-0.0063,-0.0001,-0.0001,-0.0001,-16.75,-15.5,-12.94,-0.53,4.71,-2.7,3.0,3.0,3.0,3.0,-0.519,0.0215,0.002,-0.0001,-3.94,6.63,-12.88,6.38,1.44,1.44,3.0,3.0,3.0,3.0,-0.5185,0.0086,0.0003,0.855,-1.06,8.69,-12.63,0.66,-1.88,15.81,3.0,3.0,3.0,3.0,-0.5302,0.0189,0.0214,0.8474,-0.5,0.69,-9.94,-1.77,-2.07,3.55,3.0,3.0,3.0,3.0
