,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
715423.0,0.0513,-0.0156,-0.0001,-0.0001,0.12,0.0,0.25,0.01,0.04,-0.16,3.0,3.0,3.0,3.0,0.0754,-0.0129,-0.0001,-0.0001,-0.06,-0.06,0.31,0.03,0.03,-0.06,0.0,3.0,3.0,3.0,-0.2439,-0.0044,-0.0001,-0.0001,0.31,0.12,0.12,0.05,0.01,-0.08,3.0,3.0,3.0,3.0,-0.103,0.0026,0.0083,-0.9946,0.06,-0.06,0.12,0.06,0.03,-0.01,0.0,3.0,3.0,3.0,0.1169,-0.0001,-0.0001,-0.0001,-0.06,0.63,0.19,-0.05,0.0,-0.15,0.0,3.0,3.0,3.0
715473.0,0.0513,-0.0156,-0.0001,-0.0001,0.06,0.0,0.44,-0.06,0.05,-0.17,3.0,3.0,3.0,3.0,0.0754,-0.0129,-0.0001,-0.0001,-0.12,0.06,0.5,-0.04,-0.01,-0.05,0.0,3.0,3.0,3.0,-0.2439,-0.0044,-0.0001,-0.0001,0.25,0.19,0.37,0.0,-0.02,-0.07,3.0,3.0,3.0,3.0,-0.103,0.0026,0.0083,-0.9946,0.0,0.19,0.31,0.01,0.05,-0.01,0.0,3.0,3.0,3.0,0.1169,-0.0001,-0.0001,-0.0001,-0.12,0.56,0.69,0.08,-0.01,-0.14,0.0,3.0,3.0,3.0
715524.0,0.0513,-0.0156,-0.0001,-0.0001,0.12,-0.25,0.88,0.0,0.08,-0.14,3.0,3.0,3.0,3.0,0.0756,-0.0129,-0.0001,-0.0001,-0.12,0.25,0.69,0.02,0.01,-0.08,0.0,3.0,3.0,3.0,-0.2437,-0.0044,-0.0001,-0.0001,0.12,0.19,0.88,0.1,0.0,-0.08,3.0,3.0,3.0,3.0,-0.1027,0.0026,0.0083,-0.9947,0.0,0.19,0.88,0.1,0.08,-0.01,0.0,3.0,3.0,3.0,0.1173,-0.0001,-0.0001,-0.0001,0.0,0.88,1.0,0.09,-0.08,-0.14,0.0,3.0,3.0,3.0
715572.0,0.0518,-0.0156,-0.0001,-0.0001,0.06,0.06,1.44,0.0,0.07,-0.12,3.0,3.0,3.0,3.0,0.076,-0.0129,0.0295,-0.9966,-0.06,0.0,1.37,0.0,-0.01,-0.07,0.0,3.0,3.0,3.0,-0.2432,-0.0043,0.0283,-0.0001,0.25,0.25,1.31,0.0,0.0,-0.01,3.0,3.0,3.0,3.0,-0.1022,0.0026,0.0083,-0.9948,-0.06,0.31,1.44,0.01,0.04,-0.08,0.0,3.0,3.0,3.0,0.1179,-0.0001,-0.0001,-0.0001,0.06,0.81,1.44,-0.17,0.02,-0.14,0.0,3.0,3.0,3.0
715623.0,0.0524,-0.0156,-0.0001,-0.0001,0.0,0.0,1.44,-0.06,-0.11,-0.11,3.0,3.0,3.0,3.0,0.0767,-0.0128,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.04,0.02,-0.01,0.0,3.0,3.0,3.0,-0.2427,-0.0043,-0.0001,-0.0001,-0.31,-0.31,1.12,-0.2,0.0,-0.01,3.0,3.0,3.0,3.0,-0.1016,0.0026,0.0083,-0.9948,-0.19,0.31,1.12,-0.21,-0.19,-0.11,0.0,3.0,3.0,3.0,0.1184,-0.0001,-0.0001,-0.0001,-0.25,-0.75,0.94,0.09,-0.07,-0.12,0.0,3.0,3.0,3.0
715674.0,0.0527,-0.0155,-0.0001,-0.0001,-0.12,0.06,0.31,0.01,-0.21,-0.18,3.0,3.0,3.0,3.0,0.077,-0.0128,-0.0001,-0.0001,-0.06,0.19,0.31,-0.02,-0.1,-0.02,0.0,3.0,3.0,3.0,-0.2424,-0.004,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.09,-0.11,-0.1,3.0,3.0,3.0,3.0,-0.1014,0.003,0.0088,-0.9948,-0.06,0.0,0.06,0.03,-0.01,-0.01,0.0,3.0,3.0,3.0,0.1185,-0.0001,-0.0001,-0.0001,0.19,0.63,0.25,0.06,-0.02,-0.17,0.0,3.0,3.0,3.0
715724.0,0.0527,-0.0155,-0.0001,-0.0001,-0.06,-0.06,-0.31,0.11,0.03,-0.15,3.0,3.0,3.0,3.0,0.077,-0.0128,-0.0001,-0.0001,0.0,0.31,-0.06,0.21,0.08,-0.1,0.0,3.0,3.0,3.0,-0.2424,-0.004,-0.0001,-0.0001,0.0,-0.06,-0.06,0.21,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.1014,0.0031,0.0089,-0.9948,0.0,0.0,-0.31,0.17,0.08,-0.06,0.0,3.0,3.0,3.0,0.1185,-0.0001,-0.0001,-0.0001,0.12,0.0,-0.37,0.35,0.16,-0.14,0.0,3.0,3.0,3.0
715774.0,0.0527,-0.0156,-0.0001,-0.0001,-0.06,0.06,-0.19,0.02,0.06,-0.14,3.0,3.0,3.0,3.0,0.077,-0.0128,-0.0001,-0.0001,-0.25,-0.12,-0.19,0.07,0.07,-0.01,0.0,3.0,3.0,3.0,-0.2424,-0.0041,-0.0001,-0.0001,0.06,0.12,-0.06,0.05,0.02,-0.09,3.0,3.0,3.0,3.0,-0.1014,0.0029,0.0088,-0.9948,-0.12,0.12,-0.25,0.03,-0.01,-0.01,0.0,3.0,3.0,3.0,0.1185,-0.0001,-0.0001,-0.0001,-0.44,1.12,-0.12,-0.21,-0.12,-0.16,0.0,3.0,3.0,3.0
715825.0,0.0527,-0.0156,-0.0001,-0.0001,-0.06,0.12,-0.19,-0.05,-0.09,-0.17,3.0,3.0,3.0,3.0,0.077,-0.0128,-0.0001,-0.0001,-0.12,0.06,-0.06,-0.07,-0.11,-0.06,0.0,3.0,3.0,3.0,-0.2424,-0.0041,-0.0001,-0.0001,0.0,-0.06,-0.06,-0.15,0.02,-0.09,3.0,3.0,3.0,3.0,-0.1014,0.0029,0.0088,-0.9948,-0.19,0.25,-0.37,-0.12,-0.14,-0.07,0.0,3.0,3.0,3.0,0.1185,-0.0001,-0.0001,-0.0001,-0.31,0.0,-0.44,-0.28,-0.09,-0.15,0.0,3.0,3.0,3.0
715875.0,0.0527,-0.0155,-0.0001,-0.0001,0.06,0.25,-0.81,-0.14,-0.04,-0.15,3.0,3.0,3.0,3.0,0.0768,-0.0128,-0.0001,-0.0001,0.12,-0.06,-0.06,-0.16,-0.16,-0.05,0.0,3.0,3.0,3.0,-0.2426,-0.0039,0.0283,-0.0001,-0.06,-0.12,-0.81,-0.06,0.02,-0.08,3.0,3.0,3.0,3.0,-0.1017,0.0031,0.0089,-0.9948,0.06,-0.12,-0.69,-0.01,0.03,-0.01,0.0,3.0,3.0,3.0,0.1182,-0.0195,0.0037,-0.9928,-0.06,0.37,-0.63,-0.15,0.04,-0.18,0.0,3.0,3.0,3.0
