,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
2997890.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.06,0.19,-0.06,0.02,0.06,-0.09,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0008,-0.0211,0.06,0.25,-0.06,0.0,0.04,-0.01,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,0.25,0.25,-0.06,0.05,0.03,-0.08,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,0.06,0.06,-0.44,-0.01,0.08,-0.03,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,0.12,0.06,-0.44,-0.06,0.07,-0.14,3.0,3.0,3.0,2.0
2997941.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.06,-0.06,-0.12,-0.04,0.08,-0.09,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0008,-0.0211,-0.19,0.0,-0.06,-0.07,-0.02,-0.07,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,0.0,0.19,0.06,0.02,-0.07,-0.09,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,0.06,0.06,0.12,0.01,0.05,-0.05,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,-0.06,0.12,0.06,-0.08,-0.04,-0.14,3.0,3.0,3.0,2.0
2997990.0,-0.0148,-0.0001,-0.0001,-0.0001,0.0,-0.06,-0.06,0.05,-0.01,-0.15,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0008,-0.0211,0.06,0.19,0.44,0.0,0.0,-0.01,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,0.06,0.06,0.56,0.04,0.0,-0.05,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,0.0,0.0,0.44,0.05,-0.03,-0.05,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,0.06,0.37,0.44,0.12,0.08,-0.12,3.0,3.0,3.0,2.0
2998040.0,-0.0148,-0.0001,-0.0001,-0.0001,0.0,0.0,0.25,0.2,-0.07,-0.19,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0008,-0.0211,-0.19,0.37,0.19,0.15,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,-0.19,0.44,0.25,0.19,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,0.18,-0.06,-0.13,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,0.06,0.75,0.06,0.2,-0.07,-0.13,3.0,3.0,3.0,2.0
2998089.0,-0.0148,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,0.18,0.03,-0.18,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0008,-0.0211,0.0,0.31,0.12,0.13,0.03,-0.01,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,0.31,0.37,0.12,0.22,0.0,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,-0.06,0.0,0.25,0.17,0.12,0.02,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,0.25,0.94,0.06,0.15,0.11,-0.16,3.0,3.0,3.0,2.0
2998139.0,-0.0148,-0.0001,-0.0001,-0.0001,0.06,0.0,0.44,0.03,0.15,-0.08,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0007,-0.0212,-0.37,0.37,0.69,-0.05,-0.08,-0.03,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,0.12,0.19,0.63,0.12,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,-0.25,0.06,0.69,0.14,0.15,-0.08,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,0.31,1.63,1.0,-0.02,-0.06,-0.13,3.0,3.0,3.0,2.0
2998190.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.06,-0.06,1.56,0.13,0.12,-0.11,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0006,-0.0218,-0.25,0.63,1.75,0.11,0.0,-0.01,3.0,3.0,3.0,2.0,-0.0131,-0.0001,-0.0001,-0.0001,0.44,-0.06,-0.06,0.25,0.0,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,-0.19,-0.06,1.69,0.22,0.13,-0.07,3.0,3.0,3.0,2.0,-0.0137,-0.0001,-0.0001,-0.0001,0.31,1.44,1.94,0.21,0.0,-0.12,3.0,3.0,3.0,2.0
2998240.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.19,-0.06,2.44,0.22,0.11,-0.11,3.0,3.0,3.0,2.0,-0.999,0.0396,0.0006,-0.0227,0.19,0.06,2.5,0.14,0.03,-0.01,3.0,3.0,3.0,2.0,-0.9974,0.0316,0.0003,-0.0648,0.31,-0.06,-0.06,0.29,0.0,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,0.0,0.0,2.5,0.23,0.07,-0.05,3.0,3.0,3.0,2.0,-0.0136,-0.0001,-0.0001,-0.0001,0.06,1.94,2.56,0.44,0.13,-0.13,3.0,3.0,3.0,2.0
2998289.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.19,-0.12,2.63,0.28,-0.02,-0.11,3.0,3.0,3.0,2.0,-0.999,0.0395,0.0008,-0.0239,0.12,0.06,2.56,0.25,0.0,0.0,3.0,3.0,3.0,2.0,-0.9973,0.0315,0.0009,-0.0659,0.19,-0.06,-0.06,0.27,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,-0.19,-0.06,2.44,0.17,-0.13,-0.09,3.0,3.0,3.0,2.0,-0.0135,-0.0001,-0.0001,-0.0001,0.12,3.56,2.69,0.1,-0.38,-0.16,3.0,3.0,3.0,2.0
2998339.0,-0.0148,-0.0001,-0.0001,-0.0001,-0.06,0.25,2.44,0.17,0.01,-0.16,3.0,3.0,3.0,2.0,-0.9989,0.0397,0.0011,-0.025,0.81,0.12,2.75,0.06,-0.31,-0.01,3.0,3.0,3.0,2.0,-0.9973,0.0317,0.0016,-0.0669,1.37,-0.63,2.81,0.24,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0154,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,0.23,0.02,0.0,3.0,3.0,3.0,2.0,-0.0134,-0.0001,-0.0001,-0.0001,1.5,1.5,2.88,-0.83,-0.19,-0.28,3.0,3.0,3.0,2.0
