,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
4219334.0,0.9846,-0.0369,0.0012,0.1711,-0.06,0.12,-0.06,-0.02,0.17,-0.01,3.0,3.0,3.0,2.0,0.9823,-0.0389,0.0035,0.1832,-0.31,0.5,0.06,-0.03,-0.07,-0.1,3.0,3.0,3.0,2.0,0.9822,-0.0001,-0.0001,-0.0001,-0.06,0.06,0.19,0.11,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9854,-0.0001,-0.0001,-0.0001,-0.19,-0.12,0.31,0.09,0.14,-0.14,3.0,3.0,3.0,2.0,0.9538,-0.0117,-0.0026,0.3002,0.06,1.0,0.63,-0.07,-0.06,-0.12,3.0,3.0,3.0,2.0
4219383.0,0.9846,-0.0367,0.0012,0.1713,-0.5,-0.06,0.88,0.0,-0.04,-0.12,3.0,3.0,3.0,2.0,0.9822,-0.0001,-0.0001,-0.0001,-0.19,0.37,0.88,-0.02,-0.02,-0.06,3.0,3.0,3.0,2.0,0.9822,-0.033,0.0033,0.185,0.06,0.12,0.94,0.01,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9853,-0.0001,-0.0001,-0.0001,-0.25,-0.12,0.88,-0.01,-0.08,-0.16,3.0,3.0,3.0,2.0,0.9537,-0.0117,-0.0024,0.3005,0.19,0.37,0.81,0.0,-0.15,-0.1,3.0,3.0,3.0,2.0
4219432.0,0.9845,-0.0369,0.0013,0.1716,-0.06,0.12,0.81,0.04,-0.13,-0.17,3.0,3.0,3.0,2.0,0.9822,-0.0001,-0.0001,-0.0001,0.19,0.31,0.75,0.07,0.04,-0.06,3.0,3.0,3.0,2.0,0.9821,-0.033,0.0033,0.1854,0.31,0.19,0.75,-0.01,0.05,-0.01,3.0,3.0,3.0,2.0,0.9852,-0.0001,-0.0001,-0.0001,-0.12,-0.19,0.88,-0.01,-0.14,-0.1,3.0,3.0,3.0,2.0,0.9536,-0.0118,-0.0001,-0.0001,0.44,0.75,0.63,-0.03,0.06,-0.16,3.0,3.0,3.0,2.0
4219483.0,0.9844,-0.037,0.0012,0.1718,0.0,0.12,0.12,0.03,-0.08,-0.15,3.0,3.0,3.0,2.0,0.9822,-0.0001,-0.0001,-0.0001,0.0,0.19,0.19,0.05,0.15,-0.05,3.0,3.0,3.0,2.0,0.9821,-0.033,0.0034,0.1854,0.25,0.19,0.06,-0.01,0.1,-0.01,3.0,3.0,3.0,2.0,0.9852,-0.0001,-0.0001,-0.0001,0.06,-0.06,-0.06,-0.01,0.0,-0.01,3.0,3.0,3.0,2.0,0.9536,-0.0118,-0.0001,-0.0001,0.06,1.19,0.25,0.19,-0.07,-0.12,3.0,3.0,3.0,2.0
4219533.0,0.9844,-0.037,0.0012,0.1718,0.12,0.06,0.31,0.01,-0.02,-0.11,3.0,3.0,3.0,2.0,0.9822,-0.0001,-0.0001,-0.0001,0.31,0.31,0.31,0.1,0.01,-0.02,3.0,3.0,3.0,2.0,0.9821,-0.033,0.0033,0.1854,0.69,0.44,0.31,0.08,0.04,-0.01,3.0,3.0,3.0,2.0,0.9852,-0.0167,0.0191,-0.0001,0.06,-0.06,-0.06,0.14,0.03,-0.01,3.0,3.0,3.0,2.0,0.9536,-0.0121,-0.0001,-0.0001,0.37,3.25,0.75,0.39,-0.01,-0.13,3.0,3.0,3.0,2.0
4219583.0,0.9844,-0.037,0.0011,0.1719,0.0,0.0,0.94,0.17,0.06,-0.32,3.0,3.0,3.0,2.0,0.9822,-0.0001,-0.0001,-0.0001,0.63,0.0,1.0,0.0,0.05,-0.17,3.0,3.0,3.0,2.0,0.9821,-0.0328,0.0032,0.1857,0.88,0.44,0.88,0.0,0.21,-0.01,3.0,3.0,3.0,2.0,0.9852,-0.0165,0.0189,-0.0001,-0.19,0.06,1.0,0.1,0.0,0.12,3.0,3.0,3.0,2.0,0.9536,-0.0123,-0.0001,-0.0001,0.63,5.38,2.13,0.68,0.04,-0.03,3.0,3.0,3.0,2.0
4219633.0,0.9844,-0.0369,0.001,0.1723,0.12,0.06,1.5,0.14,0.02,-0.03,3.0,3.0,3.0,2.0,0.9821,-0.0001,-0.0001,-0.0001,0.19,0.5,1.31,0.17,0.07,-0.09,3.0,3.0,3.0,2.0,0.982,-0.0327,0.0031,0.1862,0.37,0.06,1.5,0.11,0.13,-0.01,3.0,3.0,3.0,2.0,0.9851,-0.0163,0.0187,-0.0001,-0.31,-0.12,1.44,0.04,0.01,-0.01,3.0,3.0,3.0,2.0,0.9531,-0.012,-0.0001,-0.0001,0.5,-0.06,-0.06,-0.86,0.2,-0.49,3.0,3.0,3.0,2.0
4219683.0,0.9843,-0.0001,-0.0001,-0.0001,0.75,-0.37,1.5,0.67,0.01,-0.49,3.0,3.0,3.0,2.0,0.9819,-0.0001,-0.0001,-0.0001,-0.12,-0.06,1.44,0.67,0.03,-0.12,3.0,3.0,3.0,2.0,0.9819,-0.0323,0.0029,0.1868,0.75,0.0,1.44,0.55,0.05,-0.01,3.0,3.0,3.0,2.0,0.985,-0.0001,-0.0001,-0.0001,0.69,-0.06,-0.06,0.66,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9529,-0.0126,-0.0001,-0.0001,0.63,2.13,0.88,-0.31,-0.34,-0.17,3.0,3.0,3.0,2.0
4219734.0,0.9842,-0.0363,0.0008,0.1735,1.94,-0.56,1.94,0.44,0.46,-0.04,3.0,3.0,3.0,2.0,0.9819,-0.0001,-0.0001,-0.0001,1.44,-0.06,-0.06,0.37,0.03,-0.1,3.0,3.0,3.0,2.0,0.9818,-0.0319,0.0021,0.1875,1.19,-0.56,2.63,0.7,0.01,0.0,3.0,3.0,3.0,2.0,0.9849,-0.0154,-0.0001,-0.0001,1.56,-0.06,-0.06,0.69,0.57,0.03,3.0,3.0,3.0,2.0,0.9526,-0.0121,-0.0001,-0.0001,1.06,-0.19,3.38,0.91,0.12,-0.33,3.0,3.0,3.0,2.0
4219784.0,0.9839,-0.0001,-0.0001,-0.0001,1.25,-0.94,4.25,0.83,0.27,-0.32,3.0,3.0,3.0,2.0,0.9816,-0.0001,-0.0001,-0.0001,0.75,-0.06,-0.06,0.76,-0.01,-0.06,3.0,3.0,3.0,2.0,0.9814,-0.0308,0.0001,0.1891,1.0,-1.31,4.63,0.91,0.11,0.22,3.0,3.0,3.0,2.0,0.9846,-0.0141,-0.0001,-0.0001,0.69,-0.06,-0.06,1.13,0.49,-0.01,3.0,3.0,3.0,2.0,0.9521,-0.0113,0.0009,-0.0001,0.63,1.44,5.06,1.56,0.31,-0.31,3.0,3.0,3.0,2.0
