,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
4502564.0,0.9857,-0.0001,-0.0001,-0.0001,0.37,0.12,-0.06,0.04,0.01,-0.15,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,0.12,0.31,-0.06,0.05,-0.05,-0.1,3.0,3.0,3.0,2.0,0.9891,-0.0331,0.0075,0.1436,0.44,0.63,0.0,0.15,-0.02,-0.08,3.0,3.0,3.0,2.0,0.9858,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.25,0.08,0.14,-0.07,3.0,3.0,3.0,2.0,0.9581,-0.0099,-0.0027,0.2863,0.25,0.94,-0.06,0.09,0.01,-0.11,3.0,3.0,3.0,2.0
4502615.0,0.9857,-0.0001,-0.0001,-0.0001,0.25,0.06,-0.06,0.0,-0.04,-0.15,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,-0.12,0.25,0.25,0.05,-0.1,-0.1,3.0,3.0,3.0,2.0,0.9891,-0.0332,0.0074,0.1436,0.25,0.56,0.25,0.15,-0.09,-0.08,3.0,3.0,3.0,2.0,0.9858,-0.0001,-0.0001,-0.0001,0.5,0.19,0.31,0.1,0.06,-0.12,3.0,3.0,3.0,2.0,0.9581,-0.01,-0.0026,0.2863,0.37,1.06,0.19,0.42,0.02,-0.07,3.0,3.0,3.0,2.0
4502665.0,0.9857,-0.0001,-0.0001,-0.0001,0.69,0.19,0.25,0.33,-0.08,-0.19,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,-0.31,0.44,0.44,0.36,-0.08,-0.08,3.0,3.0,3.0,2.0,0.9891,-0.0331,0.0074,0.1436,0.69,1.19,0.31,0.44,-0.07,-0.03,3.0,3.0,3.0,2.0,0.9858,-0.0001,-0.0001,-0.0001,0.75,0.5,0.31,0.37,-0.05,-0.2,3.0,3.0,3.0,2.0,0.9581,-0.0103,-0.0024,0.2862,0.37,2.44,0.12,0.66,0.05,-0.13,3.0,3.0,3.0,2.0
4502715.0,0.9858,-0.0001,-0.0001,-0.0001,1.44,0.25,0.0,0.67,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,-0.31,0.56,0.12,0.8,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9891,-0.0329,0.0078,0.1436,1.25,2.94,0.06,0.77,-0.05,0.0,3.0,3.0,3.0,2.0,0.9859,-0.0001,-0.0001,-0.0001,2.0,1.06,-0.12,0.79,0.0,0.14,3.0,3.0,3.0,2.0,0.9581,-0.0107,-0.0008,0.2862,-0.25,5.0,-0.56,1.49,0.27,-0.02,3.0,3.0,3.0,2.0
4502765.0,0.9858,-0.034,-0.0013,0.1646,1.44,0.63,-0.06,0.81,0.06,-0.01,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,0.69,0.94,-0.06,0.69,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9891,-0.0001,-0.0001,-0.0001,0.37,2.19,-0.69,1.09,-0.11,-0.02,3.0,3.0,3.0,2.0,0.986,-0.0001,-0.0001,-0.0001,2.19,1.25,-0.75,1.03,0.24,-0.29,3.0,3.0,3.0,2.0,0.9582,-0.0103,-0.0021,0.2859,0.19,6.94,-0.06,1.29,0.01,-0.27,3.0,3.0,3.0,2.0
4502815.0,0.9859,-0.0001,-0.0001,-0.0001,2.81,0.19,-0.06,1.08,0.0,-0.01,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,0.06,0.94,-0.06,1.06,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9891,-0.0001,-0.0001,-0.0001,0.63,0.5,-0.5,1.68,-0.23,-0.26,3.0,3.0,3.0,2.0,0.986,-0.0001,-0.0001,-0.0001,2.94,1.37,-0.5,1.62,0.05,0.25,3.0,3.0,3.0,2.0,0.9582,-0.0112,0.0011,0.286,0.94,8.25,0.37,1.33,-0.76,-0.01,3.0,3.0,3.0,2.0
4502864.0,0.9859,-0.0001,-0.0001,-0.0001,-8.88,1.69,-0.06,2.22,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9833,-0.0001,-0.0001,-0.0001,-0.31,1.12,-0.06,2.23,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9892,-0.0001,-0.0001,-0.0001,0.44,-8.06,-3.63,2.82,0.24,1.29,3.0,3.0,3.0,2.0,0.986,-0.0001,-0.0001,-0.0001,-6.13,-3.19,-5.19,1.52,-0.46,2.08,3.0,3.0,3.0,2.0,0.9581,-0.0113,0.0038,0.2861,0.63,4.63,-0.63,1.49,1.57,0.09,3.0,3.0,3.0,2.0
4502916.0,0.9862,-0.0001,-0.0001,-0.0001,-0.44,1.75,-0.06,1.84,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9837,-0.0001,-0.0001,-0.0001,4.0,0.5,-0.06,1.65,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9896,-0.0309,0.0052,0.1406,1.88,-4.19,-9.94,2.17,-1.57,2.83,3.0,3.0,3.0,2.0,0.9865,-0.0001,-0.0001,-0.0001,8.38,-2.19,-11.25,2.8,0.58,2.24,3.0,3.0,3.0,2.0,0.9589,-0.0114,0.0048,0.2834,5.88,0.37,-13.06,0.69,3.19,0.54,3.0,3.0,3.0,2.0
4502966.0,0.9869,-0.0001,-0.0001,-0.0001,1.12,-0.06,-0.06,2.23,0.38,-0.01,3.0,3.0,3.0,2.0,0.9844,-0.0001,-0.0001,-0.0001,-2.25,-1.37,-10.0,1.44,2.74,0.59,3.0,3.0,3.0,2.0,0.9902,-0.0316,0.0044,0.1357,1.75,-0.12,-10.38,1.45,2.36,-1.72,3.0,3.0,3.0,2.0,0.9872,-0.0001,-0.0001,-0.0001,1.19,-0.81,-11.69,0.77,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9601,-0.0123,0.0035,0.2794,-0.94,-3.25,-12.56,2.21,0.65,-2.76,3.0,3.0,3.0,2.0
4503016.0,0.9875,-0.0001,-0.0001,-0.0001,-0.94,-0.81,-7.13,1.52,-1.72,-2.28,3.0,3.0,3.0,2.0,0.985,-0.0001,-0.0001,-0.0001,-0.37,-1.88,-7.63,2.88,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9907,-0.0316,0.0041,0.1324,-4.63,-3.31,-7.94,-1.19,0.67,0.68,3.0,3.0,3.0,2.0,0.9878,-0.0001,-0.0001,-0.0001,4.25,4.19,-7.69,-1.26,1.7,2.89,3.0,3.0,3.0,2.0,0.9612,-0.0123,0.0031,0.2757,1.44,1.75,-5.88,1.25,-1.4,-1.87,3.0,3.0,3.0,2.0
