,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
4786394.0,-0.9955,0.0356,-0.0015,-0.0875,-0.31,0.12,0.31,-0.05,0.0,-0.12,3.0,3.0,3.0,2.0,-0.9849,0.0423,-0.002,-0.1682,-0.06,0.06,0.37,-0.01,0.01,-0.06,3.0,3.0,3.0,2.0,-0.9885,0.0405,-0.0032,-0.146,-0.06,-0.12,0.31,0.01,0.09,-0.01,3.0,3.0,3.0,2.0,-0.9936,0.0148,-0.0001,-0.0001,-0.31,-0.19,0.44,-0.02,-0.03,-0.16,3.0,3.0,3.0,2.0,-0.9612,0.0174,0.0046,-0.2753,0.06,0.31,0.44,0.05,-0.05,-0.11,3.0,3.0,3.0,2.0
4786444.0,-0.9955,0.0356,-0.0016,-0.0875,0.19,-0.12,0.56,0.11,-0.13,-0.14,3.0,3.0,3.0,2.0,-0.9849,0.0423,-0.002,-0.1682,0.0,0.06,0.56,0.13,-0.03,-0.07,3.0,3.0,3.0,2.0,-0.9885,0.0405,-0.0001,-0.0001,0.0,0.06,0.31,0.03,0.04,-0.01,3.0,3.0,3.0,2.0,-0.9936,0.0148,-0.0001,-0.0001,0.12,-0.06,-0.06,0.07,-0.1,-0.05,3.0,3.0,3.0,2.0,-0.9612,0.0174,0.0046,-0.2753,0.06,0.0,0.25,0.04,0.0,-0.15,3.0,3.0,3.0,2.0
4786494.0,-0.9955,0.0356,-0.0016,-0.0875,-0.06,-0.06,0.31,0.07,-0.06,-0.16,3.0,3.0,3.0,2.0,-0.9849,0.0423,-0.0001,-0.0001,0.31,0.06,0.19,0.1,0.03,-0.05,3.0,3.0,3.0,2.0,-0.9885,0.0405,-0.0032,-0.1461,-0.06,0.06,-0.06,0.04,0.09,-0.01,3.0,3.0,3.0,2.0,-0.9936,0.0148,-0.0001,-0.0001,-0.19,-0.19,0.0,0.04,-0.02,-0.16,3.0,3.0,3.0,2.0,-0.9612,0.0174,0.0046,-0.2753,0.12,0.19,0.0,0.16,0.02,-0.13,3.0,3.0,3.0,2.0
4786544.0,-0.9955,0.0356,-0.0016,-0.0875,0.31,-0.19,-0.06,0.13,-0.05,-0.13,3.0,3.0,3.0,2.0,-0.9849,0.0423,-0.0001,-0.0001,-0.06,0.44,-0.12,0.14,-0.03,-0.05,3.0,3.0,3.0,2.0,-0.9885,0.0405,-0.0032,-0.1461,0.12,0.31,0.06,0.12,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.9936,0.0148,-0.0001,-0.0001,0.37,0.0,0.06,0.13,-0.05,-0.17,3.0,3.0,3.0,2.0,-0.9612,0.0174,0.0047,-0.2753,0.19,0.94,0.06,0.27,0.04,-0.15,3.0,3.0,3.0,2.0
4786594.0,-0.9955,0.0355,-0.0015,-0.0875,0.81,-0.06,0.06,0.21,-0.05,-0.18,3.0,3.0,3.0,2.0,-0.9849,0.0423,-0.0001,-0.0001,0.19,0.37,0.12,0.22,0.03,-0.07,3.0,3.0,3.0,2.0,-0.9885,0.0406,-0.0035,-0.146,0.31,1.0,0.19,0.1,0.09,-0.01,3.0,3.0,3.0,2.0,-0.9936,0.0147,-0.0001,-0.0001,0.88,0.25,0.06,0.1,-0.08,0.02,3.0,3.0,3.0,2.0,-0.9612,0.0172,0.0049,-0.2753,0.25,2.13,-0.44,0.38,0.1,-0.09,3.0,3.0,3.0,2.0
4786644.0,-0.9955,0.0354,-0.0013,-0.0875,-0.19,0.12,-0.06,0.13,-0.05,-0.21,3.0,3.0,3.0,2.0,-0.9849,0.0423,-0.0001,-0.0001,0.25,0.06,-0.12,0.12,0.05,-0.08,3.0,3.0,3.0,2.0,-0.9885,0.0405,-0.0037,-0.146,0.88,0.81,0.06,0.09,0.15,-0.01,3.0,3.0,3.0,2.0,-0.9936,0.0146,-0.0001,-0.0001,-0.19,-0.19,-0.06,0.06,0.04,0.35,3.0,3.0,3.0,2.0,-0.9612,0.0169,0.005,-0.2752,-0.06,4.06,-0.69,0.15,0.19,-0.09,3.0,3.0,3.0,2.0
4786695.0,-0.9955,0.0354,-0.0009,-0.0875,-0.25,-0.19,-0.37,0.4,-0.06,-0.19,3.0,3.0,3.0,2.0,-0.9849,0.0421,-0.0001,-0.0001,-0.31,0.56,-0.56,0.4,0.14,-0.02,3.0,3.0,3.0,2.0,-0.9885,0.04,-0.0036,-0.146,0.25,0.37,-0.06,0.29,0.14,0.0,3.0,3.0,3.0,2.0,-0.9936,0.0145,-0.0001,-0.0001,0.06,0.19,-0.06,0.26,-0.03,0.15,3.0,3.0,3.0,2.0,-0.9613,0.0172,0.0037,-0.2749,-0.12,1.69,-1.12,-0.13,-0.03,-0.22,3.0,3.0,3.0,2.0
4786745.0,-0.9955,0.0355,0.0002,-0.0872,-0.31,0.31,-0.88,0.4,0.03,-0.21,3.0,3.0,3.0,2.0,-0.9849,0.0417,-0.0001,-0.0001,-0.63,0.19,-1.0,0.48,-0.09,-0.12,3.0,3.0,3.0,2.0,-0.9885,0.0395,-0.0022,-0.1456,-0.25,-0.12,-0.63,0.54,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.9937,0.0146,-0.0001,-0.0001,-0.75,0.19,-0.06,0.51,0.07,-0.01,3.0,3.0,3.0,2.0,-0.9614,0.0173,0.0035,-0.2745,-0.69,0.12,-0.56,0.77,-0.11,-0.09,3.0,3.0,3.0,2.0
4786795.0,-0.9955,0.0356,0.0018,-0.087,-0.75,0.25,-0.37,0.8,0.03,-0.24,3.0,3.0,3.0,2.0,-0.985,0.0417,0.0018,-0.1677,-0.88,-0.06,-0.31,0.88,0.01,-0.09,3.0,3.0,3.0,2.0,-0.9886,0.0391,0.0002,-0.0001,-0.37,-0.06,-0.31,0.88,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.9937,0.0147,-0.0151,-0.0001,-0.88,0.06,-0.06,0.93,-0.12,-0.09,3.0,3.0,3.0,2.0,-0.9614,0.0175,0.0035,-0.2745,-0.75,0.88,-0.44,0.88,0.17,-0.34,3.0,3.0,3.0,2.0
4786846.0,-0.9955,0.0358,0.0018,-0.087,-0.63,0.37,-0.5,0.82,0.01,0.18,3.0,3.0,3.0,2.0,-0.9849,0.0422,0.0019,-0.1676,-2.06,-0.69,-0.69,0.93,0.22,-0.51,3.0,3.0,3.0,2.0,-0.9886,0.0394,0.0003,-0.1454,-1.12,0.37,-0.06,0.72,0.21,-0.01,3.0,3.0,3.0,2.0,-0.9937,0.015,-0.014,-0.0001,-0.63,0.5,-0.06,0.67,-0.64,0.61,3.0,3.0,3.0,2.0,-0.9614,0.0162,0.0064,-0.2744,-2.19,-0.5,-0.88,0.5,0.47,-0.19,3.0,3.0,3.0,2.0
