,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
5285031.0,0.9989,-0.0407,0.0023,0.0222,0.25,-0.06,-0.06,-0.02,0.0,-0.01,3.0,3.0,3.0,2.0,0.9964,-0.0118,-0.0001,-0.0001,0.12,0.19,-0.12,0.0,-0.01,-0.09,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0054,0.0793,0.31,0.31,0.0,0.02,0.01,-0.09,3.0,3.0,3.0,2.0,0.9991,-0.0001,-0.0001,-0.0001,0.19,0.12,0.0,0.0,0.02,-0.09,3.0,3.0,3.0,2.0,0.9835,-0.0189,-0.0032,0.1797,0.06,0.5,-0.06,0.0,0.0,-0.01,3.0,3.0,3.0,2.0
5285082.0,0.9989,-0.0407,0.0023,0.0222,0.06,-0.06,-0.06,0.02,0.04,-0.01,3.0,3.0,3.0,2.0,0.9964,-0.0118,-0.0001,-0.0001,0.12,0.12,-0.06,0.0,-0.01,-0.09,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0054,0.0793,0.0,0.0,0.0,0.02,0.0,-0.08,3.0,3.0,3.0,2.0,0.9991,-0.0001,-0.0001,-0.0001,-0.06,0.0,-0.06,-0.02,0.04,-0.11,3.0,3.0,3.0,2.0,0.9835,-0.0189,-0.0032,0.1797,0.0,0.12,0.06,0.07,0.01,-0.01,3.0,3.0,3.0,2.0
5285132.0,0.9989,-0.0407,0.0023,0.0222,0.25,0.0,0.19,-0.03,0.03,-0.01,3.0,3.0,3.0,2.0,0.9964,-0.0118,-0.0001,-0.0001,-0.19,0.12,0.25,0.0,0.0,-0.07,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0054,0.0793,0.19,0.31,0.31,0.02,0.01,-0.08,3.0,3.0,3.0,2.0,0.9991,-0.0001,-0.0001,-0.0001,0.19,0.31,0.37,0.01,0.02,-0.13,3.0,3.0,3.0,2.0,0.9835,-0.0189,-0.0031,0.1797,0.0,0.63,0.31,0.13,-0.01,-0.01,3.0,3.0,3.0,2.0
5285182.0,0.9989,-0.0407,0.0023,0.0222,0.37,-0.06,-0.06,0.12,0.01,-0.01,3.0,3.0,3.0,2.0,0.9964,-0.0118,-0.0001,-0.0001,-0.19,0.37,0.44,0.08,-0.05,-0.07,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0054,0.0793,0.25,0.31,0.56,0.1,-0.06,-0.05,3.0,3.0,3.0,2.0,0.9991,-0.0001,-0.0001,-0.0001,0.12,0.19,0.63,0.09,0.0,-0.09,3.0,3.0,3.0,2.0,0.9835,-0.019,-0.0028,0.1797,0.06,0.56,0.56,0.11,-0.01,-0.01,3.0,3.0,3.0,2.0
5285232.0,0.9989,-0.0407,0.0023,0.0222,-0.06,0.12,0.5,0.14,0.07,-0.14,3.0,3.0,3.0,2.0,0.9964,-0.0118,-0.0001,-0.0001,0.0,-0.37,0.44,0.13,0.02,-0.1,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0054,0.0795,0.12,0.06,0.5,0.12,0.0,-0.06,3.0,3.0,3.0,2.0,0.9991,-0.0168,0.018,0.0352,0.0,0.0,0.5,0.14,0.05,-0.08,3.0,3.0,3.0,2.0,0.9835,-0.019,-0.0027,0.1797,0.0,0.44,0.56,0.22,0.0,-0.01,3.0,3.0,3.0,2.0
5285282.0,0.9989,-0.0407,0.0023,0.0223,0.0,0.0,0.75,0.2,0.11,-0.01,3.0,3.0,3.0,2.0,0.9964,-0.0118,-0.0001,-0.0001,-0.06,-0.25,0.81,0.15,-0.11,-0.1,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0052,0.0798,0.12,0.0,1.19,0.25,-0.06,-0.07,3.0,3.0,3.0,2.0,0.9991,-0.0168,0.0179,0.0355,0.06,0.12,1.25,0.24,0.08,-0.06,3.0,3.0,3.0,2.0,0.9835,-0.0001,-0.0001,-0.0001,-0.19,1.19,0.94,0.47,0.0,-0.01,3.0,3.0,3.0,2.0
5285334.0,0.9989,-0.0405,0.0018,0.0228,-0.19,0.0,1.56,0.36,0.1,-0.18,3.0,3.0,3.0,2.0,0.9963,-0.043,0.0026,-0.0001,0.0,0.06,1.25,0.4,0.18,-0.13,3.0,3.0,3.0,2.0,0.996,-0.0397,0.0049,0.0803,-0.12,0.0,1.25,0.4,0.14,-0.08,3.0,3.0,3.0,2.0,0.9991,-0.0165,0.0171,0.0362,-0.25,-0.19,1.12,0.42,0.1,-0.08,3.0,3.0,3.0,2.0,0.9834,-0.0001,-0.0001,-0.0001,0.0,2.69,1.0,0.52,0.25,-0.01,3.0,3.0,3.0,2.0
5285384.0,0.9989,-0.0401,0.0002,0.0233,-0.12,0.0,1.19,0.65,0.06,-0.14,3.0,3.0,3.0,2.0,0.9963,-0.0427,0.0009,-0.0001,-0.25,-0.06,1.37,0.75,-0.02,-0.12,3.0,3.0,3.0,2.0,0.9959,-0.0396,0.0046,0.0808,0.06,-0.44,1.44,0.81,-0.06,-0.22,3.0,3.0,3.0,2.0,0.9991,-0.0163,0.0164,0.0367,0.12,-0.25,1.44,0.86,0.08,0.03,3.0,3.0,3.0,2.0,0.9833,-0.0001,-0.0001,-0.0001,-0.19,1.88,1.94,0.47,-0.16,-0.24,3.0,3.0,3.0,2.0
5285434.0,0.9989,-0.0401,0.0002,-0.0001,-0.19,-0.25,1.69,1.45,0.04,-0.31,3.0,3.0,3.0,2.0,0.9963,-0.0427,0.0009,-0.0001,0.63,-1.06,1.56,1.47,0.21,-0.4,3.0,3.0,3.0,2.0,0.9959,-0.0394,0.0041,0.0815,1.0,-1.69,1.31,1.29,0.13,-0.51,3.0,3.0,3.0,2.0,0.999,-0.0163,0.0162,0.0374,-0.06,-1.31,1.31,1.41,-0.01,-0.1,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,0.81,-0.06,-0.06,1.13,0.08,-0.54,3.0,3.0,3.0,2.0
5285484.0,0.9989,-0.0402,0.0,-0.0001,-0.63,-0.75,0.63,1.22,-0.56,-0.23,3.0,3.0,3.0,2.0,0.9963,-0.042,0.0005,-0.0001,1.37,-0.44,0.31,1.06,0.0,0.35,3.0,3.0,3.0,2.0,0.9959,-0.0389,0.0033,0.0818,1.5,-1.0,-0.06,0.66,-0.47,0.71,3.0,3.0,3.0,2.0,0.999,-0.0163,0.0155,0.0376,-0.37,-1.06,-0.25,0.74,-0.78,0.05,3.0,3.0,3.0,2.0,0.9832,-0.0001,-0.0001,-0.0001,2.19,-0.06,-0.06,1.67,0.31,0.47,3.0,3.0,3.0,2.0
5285534.0,0.9989,-0.0403,0.0001,-0.0001,-1.81,1.19,-0.06,0.13,-1.03,0.57,3.0,3.0,3.0,2.0,0.9963,-0.0421,0.0007,-0.0001,-3.44,0.06,-3.38,0.68,0.64,-0.61,3.0,3.0,3.0,2.0,0.9959,-0.0392,0.004,0.0809,-1.81,1.75,-3.69,-0.33,0.76,-0.7,3.0,3.0,3.0,2.0,0.9991,-0.0165,0.0159,0.0365,0.81,1.0,-4.5,0.11,-0.04,0.02,3.0,3.0,3.0,2.0,0.9833,-0.0001,-0.0001,-0.0001,-4.56,-0.06,-0.06,0.59,0.94,0.03,3.0,3.0,3.0,2.0
5285584.0,0.9989,-0.0407,-0.0001,0.022,-0.06,0.44,-0.06,0.55,0.3,-0.38,3.0,3.0,3.0,2.0,0.9965,-0.043,0.0005,-0.0001,0.56,0.63,-7.13,0.59,-1.81,-2.25,3.0,3.0,3.0,2.0,0.9962,-0.0396,0.0037,0.0781,-3.88,-2.69,-7.94,1.32,-2.71,-1.15,3.0,3.0,3.0,2.0,0.9992,-0.0164,0.0157,0.0336,2.25,-1.69,-7.19,1.81,-0.43,1.16,3.0,3.0,3.0,2.0,0.9836,-0.0001,-0.0001,-0.0001,2.19,3.25,-8.75,-2.46,-0.43,-1.54,3.0,3.0,3.0,2.0
5285635.0,0.999,-0.0403,-0.001,0.0195,-2.13,-3.38,-3.63,1.35,-0.02,-2.22,3.0,3.0,3.0,2.0,0.9966,-0.0421,-0.0009,0.0703,0.63,-4.94,-5.88,0.89,-0.53,-2.05,3.0,3.0,3.0,2.0,0.9963,-0.0387,0.0023,0.076,3.63,-2.0,-5.5,0.81,0.84,-2.55,3.0,3.0,3.0,2.0,0.9993,-0.015,0.0147,0.0316,8.31,0.12,-5.25,1.44,1.08,-0.01,3.0,3.0,3.0,2.0,0.9841,-0.0001,-0.0001,-0.0001,4.13,-10.06,-12.38,0.86,0.93,2.16,3.0,3.0,3.0,2.0
5285685.0,0.9991,-0.0393,-0.0021,0.0175,-7.75,-0.06,-0.06,-0.1,-1.38,2.78,3.0,3.0,3.0,2.0,0.9968,-0.0411,-0.0016,0.0684,-2.75,-4.63,-4.63,0.09,1.44,-0.83,3.0,3.0,3.0,2.0,0.9965,-0.0381,0.0008,0.0742,1.19,0.44,-4.06,1.13,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9993,-0.016,0.0132,0.0297,8.88,1.06,-4.44,0.13,1.67,-1.07,3.0,3.0,3.0,2.0,0.9846,-0.0001,-0.0001,-0.0001,-0.12,-7.38,-0.06,1.87,0.38,-1.84,3.0,3.0,3.0,2.0
5285735.0,0.9991,-0.0394,-0.0023,0.0154,0.69,0.69,-0.06,0.62,1.75,-5.46,3.0,3.0,3.0,2.0,0.9969,-0.0417,-0.0027,0.0663,1.94,-0.06,-4.31,1.11,0.59,2.59,3.0,3.0,3.0,2.0,0.9966,-0.0384,0.0007,0.072,1.81,-2.69,-4.94,2.32,-0.01,-0.01,3.0,3.0,3.0,2.0,0.9994,-0.0154,0.0129,0.0276,-8.5,-6.13,-4.44,1.95,0.55,-0.01,3.0,3.0,3.0,2.0,0.9849,-0.0001,-0.0001,-0.0001,0.31,-1.19,-3.38,1.34,-2.95,-0.56,3.0,3.0,3.0,2.0
5285785.0,0.9991,-0.0001,-0.0001,-0.0001,9.06,-0.06,-0.06,-0.65,1.77,-1.51,3.0,3.0,3.0,2.0,0.997,-0.0417,-0.0023,0.0652,2.0,1.81,0.06,1.51,3.13,-1.7,3.0,3.0,3.0,2.0,0.9967,-0.0383,0.0011,0.0711,6.06,-1.44,0.63,-1.49,3.04,-1.46,3.0,3.0,3.0,2.0,0.9994,-0.0168,0.0129,0.027,-22.0,-8.0,0.25,-0.01,-2.41,-0.01,3.0,3.0,3.0,2.0,0.985,-0.0001,-0.0001,-0.0001,-2.06,1.5,1.44,-0.29,1.63,-0.14,3.0,3.0,3.0,2.0
5285835.0,0.9991,-0.0392,-0.0041,-0.0001,14.69,-0.06,-0.06,1.83,1.0,-0.27,3.0,3.0,3.0,2.0,0.997,-0.0422,-0.0041,-0.0001,4.19,0.63,-1.94,0.74,1.0,4.37,3.0,3.0,3.0,2.0,0.9967,-0.0396,-0.0002,0.0704,-5.69,-2.13,-2.31,-0.25,-0.38,2.86,3.0,3.0,3.0,2.0,0.9995,-0.0157,0.0123,0.0261,-6.75,-1.25,-3.0,1.21,-0.01,-0.01,3.0,3.0,3.0,2.0,0.985,-0.0001,-0.0001,-0.0001,-2.25,-4.88,-3.5,2.36,0.17,-3.19,3.0,3.0,3.0,2.0
5285885.0,0.999,-0.0417,-0.004,-0.0001,-11.56,-1.94,-2.0,3.19,-0.6,1.52,3.0,3.0,3.0,2.0,0.997,-0.012,-0.0001,-0.0001,12.56,4.44,0.44,-2.21,9.64,1.85,3.0,3.0,3.0,2.0,0.9968,-0.0406,-0.0008,0.0695,7.25,3.25,0.12,-2.97,6.28,-0.01,3.0,3.0,3.0,2.0,0.9995,-0.0161,0.0128,0.0253,17.5,13.63,-0.81,-0.57,1.75,1.17,3.0,3.0,3.0,2.0,0.985,-0.0001,-0.0001,-0.0001,4.56,-1.31,-5.19,1.28,1.55,-7.12,3.0,3.0,3.0,2.0
5285936.0,0.9992,-0.0001,-0.0001,-0.0001,17.31,-0.06,-0.06,0.53,-0.2,1.75,3.0,3.0,3.0,2.0,0.9971,-0.0416,-0.0045,-0.0001,3.5,-0.06,-0.06,-0.3,-1.02,-3.75,3.0,3.0,3.0,2.0,0.9968,-0.0382,-0.0016,0.0695,7.0,-11.81,2.5,0.4,-1.49,-2.34,3.0,3.0,3.0,2.0,0.9995,-0.0161,0.011,0.0255,-9.06,-4.13,3.44,1.22,-0.81,-0.88,3.0,3.0,3.0,2.0,0.9852,-0.0001,-0.0001,-0.0001,-4.5,-4.44,4.94,-0.64,-1.98,2.93,3.0,3.0,3.0,2.0
5285986.0,0.9992,-0.0001,-0.0001,-0.0001,16.44,1.31,-0.06,0.35,3.29,-6.19,3.0,3.0,3.0,2.0,0.9971,-0.0421,-0.0053,-0.0001,-3.69,-1.75,-1.5,0.12,2.59,4.74,3.0,3.0,3.0,2.0,0.9968,-0.0392,-0.0002,0.0697,-4.56,-0.06,-0.5,4.06,-2.45,-0.01,3.0,3.0,3.0,2.0,0.9995,-0.016,0.0113,0.0256,-51.13,-16.31,1.06,1.43,-0.65,-0.01,3.0,3.0,3.0,2.0,0.9851,-0.0001,-0.0001,-0.0001,2.38,-8.31,4.44,0.53,-2.25,-3.55,3.0,3.0,3.0,2.0
5286036.0,0.9991,-0.0411,-0.0047,-0.0001,8.19,-9.5,0.37,-0.79,0.45,0.41,3.0,3.0,3.0,2.0,0.9971,-0.0411,-0.0045,-0.0001,7.81,-0.06,-0.06,0.03,2.14,-3.31,3.0,3.0,3.0,2.0,0.9968,-0.0386,-0.0032,0.0705,11.31,-2.44,4.5,-1.66,1.76,-2.09,3.0,3.0,3.0,2.0,0.9995,-0.018,0.0101,0.0265,-12.19,-5.69,3.75,0.72,-1.93,-0.01,3.0,3.0,3.0,2.0,0.9849,-0.0001,-0.0001,-0.0001,5.25,3.0,2.56,-2.12,1.43,4.12,3.0,3.0,3.0,2.0
