,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
6357282.0,0.9961,-0.0396,-0.0024,0.0789,0.0,0.19,-0.12,0.16,-0.16,-0.08,3.0,3.0,3.0,3.0,0.9967,-0.0373,0.0058,0.0721,-0.31,0.44,-0.12,0.14,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9968,-0.0001,-0.0001,-0.0001,0.19,0.06,-0.25,0.18,-0.08,-0.02,3.0,3.0,3.0,3.0,0.995,-0.0222,0.0141,0.0961,0.0,0.0,-0.06,0.13,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9832,-0.0117,-0.0079,0.1819,0.19,0.69,-0.06,0.12,-0.09,-0.04,3.0,3.0,3.0,3.0
6357331.0,0.9961,-0.0399,-0.0029,0.0789,0.19,-0.06,-0.5,0.19,-0.13,-0.07,3.0,3.0,3.0,3.0,0.9967,-0.0373,0.0057,0.0721,-0.19,0.44,-0.63,0.19,-0.06,-0.01,3.0,3.0,3.0,3.0,0.9968,-0.0001,-0.0001,-0.0001,0.37,0.31,-0.56,0.11,0.08,-0.04,3.0,3.0,3.0,3.0,0.9951,-0.0222,0.0141,0.0959,0.19,0.0,-0.06,0.09,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9833,-0.0117,-0.0079,0.1817,0.0,0.56,-0.06,0.27,0.03,-0.03,3.0,3.0,3.0,3.0
6357382.0,0.9961,-0.04,-0.0031,0.0786,0.25,-0.12,-1.25,0.12,0.06,-0.01,3.0,3.0,3.0,3.0,0.9967,-0.0372,0.0054,0.0717,-0.44,0.31,-1.12,0.12,-0.06,0.0,3.0,3.0,3.0,3.0,0.9968,-0.0001,-0.0001,-0.0001,0.44,-0.06,-0.06,0.31,-0.11,-0.01,3.0,3.0,3.0,3.0,0.9951,-0.0222,0.0141,0.0955,0.37,-0.06,-1.19,0.25,0.16,-0.01,3.0,3.0,3.0,3.0,0.9833,-0.0117,-0.0084,0.1812,0.44,1.88,-0.06,0.45,-0.02,-0.02,3.0,3.0,3.0,3.0
6357432.0,0.9962,-0.0399,-0.0034,0.0782,0.44,0.0,-0.19,0.18,0.17,-0.08,3.0,3.0,3.0,3.0,0.9967,-0.0374,0.0052,0.0714,0.31,0.06,-0.19,0.23,0.06,-0.04,3.0,3.0,3.0,3.0,0.9969,-0.0001,-0.0001,-0.0001,0.75,0.31,-0.06,0.27,0.18,0.01,3.0,3.0,3.0,3.0,0.9951,-0.0215,0.0134,0.0953,0.19,0.0,0.0,0.28,0.19,0.01,3.0,3.0,3.0,3.0,0.9834,-0.0107,-0.0099,0.181,-0.37,4.19,-0.06,0.17,0.01,0.0,3.0,3.0,3.0,3.0
6357483.0,0.9962,-0.0395,-0.0042,0.0781,0.19,-0.06,-0.44,0.56,-0.08,-0.17,3.0,3.0,3.0,3.0,0.9968,-0.0374,0.0051,0.0714,-0.37,-0.25,-0.5,0.61,-0.07,-0.03,3.0,3.0,3.0,3.0,0.9969,-0.0001,-0.0001,-0.0001,-0.25,-0.06,-0.31,0.68,-0.08,-0.02,3.0,3.0,3.0,3.0,0.9952,-0.0211,0.0118,0.0953,0.19,0.31,-0.06,0.58,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9834,-0.011,-0.0084,0.1808,-0.63,3.13,-0.06,-0.04,0.05,-0.17,3.0,3.0,3.0,3.0
6357532.0,0.9962,-0.0395,-0.0042,0.0781,0.25,-0.5,-1.56,0.99,-0.44,0.01,3.0,3.0,3.0,3.0,0.9968,-0.0375,0.0049,0.0712,-0.94,-1.0,-1.37,1.08,0.15,-0.22,3.0,3.0,3.0,3.0,0.9969,-0.0001,-0.0001,-0.0001,-0.88,-0.88,-1.5,0.73,0.11,-0.22,3.0,3.0,3.0,3.0,0.9952,-0.0211,0.0114,0.095,0.37,-0.06,-0.06,0.66,-0.01,-0.01,3.0,3.0,3.0,3.0,0.9835,-0.0114,-0.0086,0.1802,-1.06,-2.5,-2.25,0.58,0.03,0.02,3.0,3.0,3.0,3.0
6357582.0,0.9963,-0.0392,-0.0046,0.0769,0.81,-0.88,-4.13,0.28,-0.08,-0.27,3.0,3.0,3.0,3.0,0.9968,-0.0377,0.0043,0.0699,0.63,0.25,-4.0,0.12,-0.1,0.36,3.0,3.0,3.0,3.0,0.997,-0.0001,-0.0001,-0.0001,1.06,-0.06,-0.06,0.05,-0.18,-0.17,3.0,3.0,3.0,3.0,0.9954,-0.0209,0.0109,0.0934,0.88,-0.06,-0.06,-0.06,0.08,-0.01,3.0,3.0,3.0,3.0,0.9838,-0.0115,-0.0103,0.1786,0.25,-0.06,-0.06,0.2,-0.01,-0.01,3.0,3.0,3.0,3.0
6357632.0,0.9964,-0.0001,-0.0001,-0.0001,1.25,-0.31,-2.38,0.32,0.07,-0.17,3.0,3.0,3.0,3.0,0.9969,-0.037,0.0043,0.0684,2.88,-0.63,-2.31,0.48,-0.06,-0.27,3.0,3.0,3.0,3.0,0.9971,-0.0001,-0.0001,-0.0001,3.56,-0.06,-0.06,0.65,-0.2,0.52,3.0,3.0,3.0,3.0,0.9955,-0.0204,0.0106,0.0922,1.06,-1.5,-2.06,0.6,0.11,-0.01,3.0,3.0,3.0,3.0,0.984,-0.0102,-0.0115,0.1773,3.0,-0.06,-0.06,0.06,0.25,0.36,3.0,3.0,3.0,3.0
6357682.0,0.9965,-0.0001,-0.0001,-0.0001,1.63,-1.31,-1.56,0.8,0.09,-0.33,3.0,3.0,3.0,3.0,0.997,-0.0362,0.0039,0.0678,0.0,-2.19,-1.44,0.78,0.42,0.2,3.0,3.0,3.0,3.0,0.9972,-0.0001,-0.0001,-0.0001,0.31,-0.06,-0.06,0.04,0.27,0.26,3.0,3.0,3.0,3.0,0.9955,-0.0197,0.0104,0.0915,2.31,0.63,-1.75,-0.4,0.22,0.49,3.0,3.0,3.0,3.0,0.9841,-0.0093,-0.0137,-0.0001,0.12,-0.06,-0.06,1.29,0.66,0.24,3.0,3.0,3.0,3.0
6357732.0,0.9966,-0.0001,-0.0001,-0.0001,-2.5,0.0,-1.94,-0.52,0.47,0.24,3.0,3.0,3.0,3.0,0.9971,-0.0362,0.0032,0.067,-2.88,1.63,-1.94,-0.49,0.06,-0.03,3.0,3.0,3.0,3.0,0.9973,-0.0001,-0.0001,-0.0001,-1.37,1.19,-0.06,0.46,-0.81,-0.46,3.0,3.0,3.0,3.0,0.9956,-0.0199,0.0106,0.0906,-3.81,-0.44,-1.37,-0.05,0.16,0.01,3.0,3.0,3.0,3.0,0.9842,-0.0098,-0.0139,-0.0001,-1.44,4.06,-0.06,-3.11,-2.49,-0.29,3.0,3.0,3.0,3.0
