,sensor0,,,,,,,,,,,,,,sensor1,,,,,,,,,,,,,,sensor2,,,,,,,,,,,,,,sensor3,,,,,,,,,,,,,,sensor4
時刻(ms),相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag,相対方位(w),相対方位(x),相対方位(y),相対方位(z),角速度(x),角速度(y),角速度(z),加速度-重力加速度(x),加速度-重力加速度(y),加速度-重力加速度(z),Sys,Gyro,Accel,Mag
7894600.0,-0.005,-0.0001,-0.0001,-0.03,-0.9762,0.0107,0.0079,-0.2164,0.12,0.0,-0.5,0.28,-0.07,-0.02,3.0,3.0,3.0,3.0,7894600.0,-0.005,-0.0001,-0.0001,-0.0001,0.19,0.19,-0.44,0.21,-0.15,-0.08,3.0,3.0,3.0,3.0,-0.0152,-0.0001,-0.0001,-0.0001,0.19,0.0,-0.06,0.21,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9871,0.0323,0.0022,-0.0001,0.25,0.37,-0.06,0.01,0.03,0.0,3.0,3.0,3.0,3.0,-0.0051,-0.0001,-0.0001,-0.0001,0.31,0.0,-0.81,0.1,-0.17
7894648.0,-0.005,-0.0001,-0.0001,-0.0001,-0.06,0.25,-0.06,0.25,-0.35,-0.12,3.0,3.0,3.0,3.0,-0.9841,0.0349,0.0018,-0.1744,0.06,0.12,-1.63,0.3,-0.03,-0.02,3.0,3.0,3.0,3.0,-0.9872,0.0323,0.0022,-0.1563,-0.19,0.31,-1.88,0.0,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0052,-0.0001,-0.0001,-0.0001,0.0,0.06,-0.06,0.07,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.0078,-0.0001,-0.0001,-0.0001,0.12,0.5,-2.31,0.39,-0.22,-0.02,3.0,3.0,3.0,3.0
7894697.0,-0.0051,-0.0001,-0.0001,-0.0001,-0.25,0.19,-0.06,0.3,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9843,0.035,0.0026,-0.1733,0.44,0.37,-3.56,0.37,-0.1,0.0,3.0,3.0,3.0,3.0,-0.9874,0.0322,0.0022,-0.1551,0.63,0.31,-3.63,-0.03,-0.02,-0.03,3.0,3.0,3.0,3.0,-0.9897,0.0139,-0.0069,-0.1419,-0.12,-0.06,-4.19,0.04,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9769,0.0108,-0.0001,-0.0001,0.37,1.69,-0.06,0.62,0.2,0.0,3.0,3.0,3.0,3.0
7894748.0,-0.0052,-0.0001,-0.0001,-0.0001,-0.69,0.88,-0.06,0.63,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9847,0.035,0.0034,-0.1709,0.31,0.88,-7.5,0.74,0.17,-0.09,3.0,3.0,3.0,3.0,-0.9878,0.0319,0.0019,-0.1526,0.94,1.75,-8.0,-0.12,0.23,-0.07,3.0,3.0,3.0,3.0,-0.9902,0.0146,-0.0067,-0.139,1.81,0.81,-9.19,0.03,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.9779,0.011,0.0077,-0.0001,-0.19,3.31,-9.63,0.13,0.24,-0.08,3.0,3.0,3.0,3.0
7894798.0,-0.0059,-0.0001,-0.0001,-0.0001,1.81,-0.06,-0.06,0.71,0.04,-0.01,3.0,3.0,3.0,3.0,-0.9854,0.0341,0.0052,-0.1665,-0.88,-0.75,-11.63,0.65,0.16,-0.16,3.0,3.0,3.0,3.0,-0.9885,0.0317,0.0018,-0.1481,-0.25,0.25,-11.56,0.63,-0.18,-0.06,3.0,3.0,3.0,3.0,-0.9908,0.0139,-0.0067,-0.1343,-0.56,-1.19,-11.88,0.79,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.9789,0.0112,0.007,-0.0001,-0.75,0.56,-12.56,0.36,0.24,-0.21,3.0,3.0,3.0,3.0
7894848.0,-0.0065,-0.0001,-0.0001,-0.0001,-2.38,-0.5,-13.88,1.21,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9863,0.0345,0.0069,-0.161,-2.31,-0.69,-14.56,1.58,0.24,-0.01,3.0,3.0,3.0,3.0,-0.9893,0.0324,0.0022,-0.1426,-2.44,-0.25,-14.94,0.51,0.19,-0.04,3.0,3.0,3.0,3.0,-0.9916,0.015,-0.0063,-0.1284,-4.88,-0.06,-0.06,0.6,-1.41,-0.19,3.0,3.0,3.0,2.0,-0.9802,0.012,0.0078,-0.1973,-3.06,-1.63,-15.88,1.09,-0.55,0.29,3.0,3.0,3.0,3.0
7894897.0,-0.0074,-0.0001,-0.0001,-0.0001,3.31,-0.06,-0.06,0.77,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9875,0.0353,0.0076,-0.1536,-1.75,-1.25,-19.25,0.97,-0.88,0.4,3.0,3.0,3.0,3.0,-0.9903,0.0331,0.0023,-0.135,-1.75,1.19,-19.0,0.34,-0.51,0.23,3.0,3.0,3.0,3.0,-0.9926,0.0138,-0.0066,-0.1205,4.44,1.5,-0.06,0.32,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.013,-0.0001,-0.0001,-0.0001,-2.06,0.19,-0.06,0.58,-0.01,-0.01,3.0,3.0,3.0,3.0
7894946.0,-0.9929,0.0353,-0.0001,-0.0001,-4.63,-0.06,-0.06,0.06,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9888,0.0355,0.0075,-0.1446,-1.69,1.0,-22.62,1.08,-0.39,-1.44,3.0,3.0,3.0,3.0,-0.0068,-0.0001,-0.0001,-0.0001,-0.06,-1.44,-22.56,0.78,-0.03,0.11,3.0,3.0,3.0,3.0,-0.9937,0.0138,-0.0063,-0.1112,4.75,-0.75,-22.44,1.45,-0.7,-2.21,3.0,3.0,3.0,2.0,-0.9835,0.0129,0.0085,-0.1802,-2.0,-1.31,-5.88,-0.29,0.42,-0.01,3.0,3.0,3.0,3.0
7894994.0,-0.9938,0.037,0.0157,-0.1031,-17.37,0.63,-23.5,1.52,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9899,0.0364,0.0086,-0.1368,-4.06,-0.25,-23.44,-0.22,1.06,0.56,3.0,3.0,3.0,2.0,-0.9924,0.0339,0.003,-0.1182,-4.5,-3.38,-23.81,0.02,1.57,-0.05,3.0,3.0,3.0,3.0,-0.9948,0.0164,-0.0055,-0.007,7.75,1.81,-28.19,0.35,0.8,-0.71,3.0,3.0,3.0,2.0,-0.9852,0.0144,0.011,-0.1702,-3.06,-7.56,-0.06,1.9,-0.01,-0.01,3.0,3.0,3.0,3.0
7895042.0,-0.995,0.037,0.0161,-0.0912,-4.75,-2.13,-26.81,-0.69,0.42,-1.15,3.0,3.0,3.0,3.0,-0.9913,0.0383,0.009,-0.1252,-9.0,-1.0,-27.81,-0.6,-1.71,-1.91,3.0,3.0,3.0,2.0,-0.9937,0.0357,0.0038,-0.013,-1.37,-3.69,-24.37,0.86,-2.17,-0.01,3.0,3.0,3.0,2.0,-0.9957,0.0159,-0.0052,-0.0914,-6.69,-5.44,-23.37,1.6,-0.97,-3.67,3.0,3.0,3.0,2.0,-0.9871,0.0154,0.0127,-0.1589,-7.94,1.31,-23.25,0.7,-0.25,-0.09,3.0,3.0,3.0,3.0
7895091.0,-0.9957,0.0378,0.017,-0.0001,-2.63,7.25,-26.81,-1.61,0.12,0.9,3.0,3.0,3.0,3.0,-0.9926,0.0379,0.0091,-0.115,-11.5,0.88,-26.12,-1.04,0.66,-4.72,3.0,3.0,3.0,2.0,-0.9947,0.0347,0.0045,-0.0964,-4.5,-9.31,-25.56,3.44,-4.34,2.96,3.0,3.0,3.0,2.0,-0.9966,0.0163,-0.0048,-0.0809,-2.75,-4.31,-26.31,1.74,-0.09,-4.08,3.0,3.0,3.0,2.0,-0.004,-0.0001,-0.0001,-0.0001,9.25,-1.94,-25.81,-1.33,6.4,1.99,3.0,3.0,3.0,3.0
7895139.0,-0.012,-0.0001,-0.0001,-0.0001,-6.38,-0.06,-0.06,1.34,0.24,0.95,3.0,3.0,3.0,3.0,-0.9936,0.0356,0.0087,-0.1068,7.81,1.81,-16.87,0.69,1.25,-0.53,3.0,3.0,3.0,2.0,-0.9955,0.0328,0.0042,-0.0888,-0.94,-0.94,-20.69,-0.17,0.76,0.76,3.0,3.0,3.0,2.0,-0.9972,0.0156,-0.0045,-0.0732,2.81,-0.06,-20.81,0.39,0.89,-2.81,3.0,3.0,3.0,2.0,-0.0052,-0.0001,-0.0001,-0.0001,5.0,0.69,-24.62,0.56,3.42,-0.92,3.0,3.0,3.0,3.0
7895187.0,-0.9969,0.0375,0.0167,-0.0001,-8.94,0.56,-0.06,1.75,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.9944,0.0363,0.0084,-0.0986,3.5,4.19,-17.87,-1.36,-0.39,0.77,3.0,3.0,3.0,2.0,-0.996,0.0333,0.0034,-0.0824,-3.31,-1.06,-20.75,0.07,-0.1,-1.56,3.0,3.0,3.0,2.0,-0.9977,0.016,-0.0049,-0.065,1.0,-0.19,-21.0,-1.17,-2.0,-0.41,3.0,3.0,3.0,2.0,-0.0063,-0.0001,-0.0001,-0.0001,-0.94,-0.19,-4.25,-0.2,1.41,-1.65,3.0,3.0,3.0,3.0
7895237.0,-0.9974,0.0376,0.0175,-0.058,-7.0,-1.69,-17.69,0.76,-0.01,-0.01,3.0,3.0,3.0,3.0,-0.995,0.038,-0.0001,-0.0001,-1.5,-0.94,-16.94,0.91,4.08,3.2,3.0,3.0,3.0,2.0,-0.0122,-0.0001,-0.0001,-0.0001,3.69,-1.19,-18.25,-0.84,3.04,1.74,3.0,3.0,3.0,2.0,-0.9982,0.0173,-0.0044,-0.057,-14.0,-0.44,-18.56,-0.51,-1.58,-2.94,3.0,3.0,3.0,2.0,-0.9917,0.016,0.0138,-0.0001,-5.5,-0.06,-0.06,1.15,-6.82,1.59,3.0,3.0,3.0,3.0
7895285.0,-0.9979,0.0385,0.0166,-0.0494,17.69,-1.75,-20.06,-0.61,-0.52,0.48,3.0,3.0,3.0,3.0,-0.9957,0.0386,-0.0001,-0.0001,0.12,0.25,-0.06,1.04,0.83,1.6,3.0,3.0,3.0,2.0,-0.0129,-0.0001,-0.0001,-0.0001,10.13,-0.06,-0.06,-2.36,2.43,-0.83,3.0,3.0,3.0,2.0,-0.9987,0.0144,-0.0056,-0.0488,-0.12,0.69,-14.56,-1.75,1.98,10.9,3.0,3.0,3.0,2.0,-0.9928,0.0147,0.0132,-0.1183,-4.56,-0.06,-0.06,-0.03,-1.79,1.11,3.0,3.0,3.0,3.0
7895334.0,-0.998,0.0419,0.0174,-0.0424,-5.25,-4.69,-18.12,0.78,1.04,-5.89,3.0,3.0,3.0,3.0,-0.012,-0.0001,-0.0001,-0.0001,3.0,-0.06,-0.06,-0.79,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0133,-0.0001,-0.0001,-0.0001,0.12,-0.06,-0.06,1.4,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.9989,0.0185,-0.0024,-0.0429,-2.88,-1.94,-15.63,-0.09,0.96,2.05,3.0,3.0,3.0,2.0,-0.9937,0.014,0.0145,-0.1109,-2.56,-9.38,-16.87,0.08,-0.01,-0.01,3.0,3.0,3.0,3.0
7895385.0,-0.9982,0.0438,0.0182,-0.0371,-1.81,2.38,-16.69,-0.57,-0.69,2.09,3.0,3.0,3.0,3.0,-0.0124,-0.0001,-0.0001,-0.0001,-3.56,-1.44,-16.69,-0.77,-0.01,-0.01,3.0,3.0,3.0,2.0,-0.0136,-0.0001,-0.0001,-0.0001,-7.88,-0.06,-0.06,0.83,-1.84,-0.58,3.0,3.0,3.0,2.0,-0.9991,0.021,-0.0017,-0.0361,4.38,0.37,-15.38,0.15,0.49,-1.13,3.0,3.0,3.0,2.0,-0.9943,0.0148,0.0181,-0.1044,-1.81,-1.25,-12.69,2.93,-0.01,-0.01,3.0,3.0,3.0,3.0
7895435.0,-0.9985,0.0428,0.017,-0.0306,18.87,3.94,-11.19,0.65,1.29,-2.56,3.0,3.0,3.0,3.0,-0.0129,-0.0001,-0.0001,-0.0001,9.5,0.88,-9.75,-0.48,-1.93,-0.01,3.0,3.0,3.0,2.0,-0.014,-0.0001,-0.0001,-0.0001,10.06,17.62,-9.06,3.2,-0.27,0.11,3.0,3.0,3.0,2.0,-0.9994,0.0162,-0.0046,-0.03,-0.31,0.56,-9.06,2.11,0.79,1.43,3.0,3.0,3.0,2.0,-0.9949,0.0138,0.0139,-0.0991,2.81,-0.06,-0.06,-1.89,2.86,0.83,3.0,3.0,3.0,3.0
